year,C1,region,net_migration,avg_net_migration_recent,latest_net_migration,recent_start_year,latest_year,avg_net_migration_2016_2025,net_migration_2025
2007,52,전북특별자치도,-10874,-7164.8,-3575,2016,2025,-7164.8,-3575
2008,52,전북특별자치도,-10550,-7164.8,-3575,2016,2025,-7164.8,-3575
2009,52,전북특별자치도,-4806,-7164.8,-3575,2016,2025,-7164.8,-3575
2010,52,전북특별자치도,-2448,-7164.8,-3575,2016,2025,-7164.8,-3575
2011,52,전북특별자치도,1721,-7164.8,-3575,2016,2025,-7164.8,-3575
2012,52,전북특별자치도,-3291,-7164.8,-3575,2016,2025,-7164.8,-3575
2013,52,전북특별자치도,-2197,-7164.8,-3575,2016,2025,-7164.8,-3575
2014,52,전북특별자치도,-2563,-7164.8,-3575,2016,2025,-7164.8,-3575
2015,52,전북특별자치도,-2830,-7164.8,-3575,2016,2025,-7164.8,-3575
2016,52,전북특별자치도,-4419,-7164.8,-3575,2016,2025,-7164.8,-3575
2017,52,전북특별자치도,-7206,-7164.8,-3575,2016,2025,-7164.8,-3575
2018,52,전북특별자치도,-13773,-7164.8,-3575,2016,2025,-7164.8,-3575
2019,52,전북특별자치도,-12748,-7164.8,-3575,2016,2025,-7164.8,-3575
2020,52,전북특별자치도,-8494,-7164.8,-3575,2016,2025,-7164.8,-3575
2021,52,전북특별자치도,-5801,-7164.8,-3575,2016,2025,-7164.8,-3575
2022,52,전북특별자치도,-5115,-7164.8,-3575,2016,2025,-7164.8,-3575
2023,52,전북특별자치도,-4457,-7164.8,-3575,2016,2025,-7164.8,-3575
2024,52,전북특별자치도,-6060,-7164.8,-3575,2016,2025,-7164.8,-3575
2025,52,전북특별자치도,-3575,-7164.8,-3575,2016,2025,-7164.8,-3575
