C1,C1_NM,C1_NM_ENG,lon,lat,centroid_quality
11110,종로구,Jongno-gu,126.97729550799922,37.594924612233804,exact_name
11140,중구,Jung-gu,126.99581206162344,37.560082723500244,exact_name
11170,용산구,Yongsan-gu,126.97986469630517,37.53130121563068,exact_name
11200,성동구,Seongdong-gu,127.04102965424742,37.55101080618659,exact_name
11215,광진구,Gwangjin-gu,127.08578476818599,37.54677375396232,exact_name
11230,동대문구,Dongdaemun-gu,127.05488736324668,37.582020221469826,exact_name
11260,중랑구,Jungnang-gu,127.09284259259624,37.597775955657774,exact_name
11290,성북구,Seongbuk-gu,127.01739254695053,37.605675052751295,exact_name
11305,강북구,Gangbuk-gu,127.01124129519664,37.643409360846796,exact_name
11320,도봉구,Dobong-gu,127.03240782125698,37.66917181794759,exact_name
11350,노원구,Nowon-gu,127.07505331062391,37.65243469002966,exact_name
11380,은평구,Eunpyeong-gu,126.92703153849666,37.619174208057785,exact_name
11410,서대문구,Seodaemun-gu,126.93904890783826,37.577809252761035,exact_name
11440,마포구,Mapo-gu,126.90826112006587,37.559320515992795,exact_name
11470,양천구,Yangcheon-gu,126.85552753571912,37.52480850021372,exact_name
11500,강서구,Gangseo-gu,126.82268059767729,37.56124410939317,exact_name
11530,구로구,Guro-gu,126.85650472368677,37.494432492082616,exact_name
11545,금천구,Geumcheon-gu,126.90090440021035,37.460539980538655,exact_name
11560,영등포구,Yeongdeungpo-gu,126.9101492184013,37.52234793617829,exact_name
11590,동작구,Dongjak-gu,126.95179769373237,37.49883163868483,exact_name
11620,관악구,Gwanak-gu,126.94539973998187,37.46728443788316,exact_name
11650,서초구,Seocho-gu,127.0313157818611,37.47325798281558,exact_name
11680,강남구,Gangnam-gu,127.06291753222031,37.49670889627982,exact_name
11710,송파구,Songpa-gu,127.11524081203144,37.50561958664117,exact_name
11740,강동구,Gang-dong,126.99180843099897,37.55189150656108,province_proxy
26110,중구,Jung-gu,129.03212790460182,35.105407059622735,exact_name
26140,서구,Seo-gu,129.01496328574515,35.10279129906797,exact_name
26170,동구,Dong-gu,129.04482568158411,35.128304701707535,exact_name
26200,영도구,Yeongdo-gu,129.06471835577665,35.07869675330035,exact_name
26230,부산진구,Busanjin-gu,129.043118352274,35.165265547929714,exact_name
26260,동래구,Dongnae-gu,129.0790683305262,35.206192628300336,exact_name
26290,남구,Nam-gu,129.09446902198025,35.12526297057718,exact_name
26320,북구,Buk-gu,129.02339344083344,35.22929027524791,exact_name
26350,해운대구,Haeundae-gu,129.15359415184287,35.1936734384699,exact_name
26380,사하구,Saha-gu,128.97039952466466,35.08625183831192,exact_name
26410,금정구,Geumjeong-gu,129.091477304143,35.25890868960026,exact_name
26440,강서구,Gangseo-gu,128.89140442171058,35.13687559728337,exact_name
26470,연제구,Yeonje-gu,129.08302294528968,35.18237362953151,exact_name
26500,수영구,Suyeong-gu,129.11128442880496,35.16118139858784,exact_name
26530,사상구,Sasang-gu,128.98659501031082,35.158035655269465,exact_name
26710,기장군,Gijang-gun,129.20102131235146,35.297897605117974,exact_name
27110,중구,Jung-gu,128.59357055940634,35.866473512277985,exact_name
27140,동구,Dong-gu,128.68565842258596,35.93448636309884,exact_name
27170,서구,Seo-gu,128.54969214285407,35.875097985048505,exact_name
27200,남구,Nam-gu,128.58533267264036,35.83507672037608,exact_name
27230,북구,Buk-gu,128.577426549573,35.92885054104235,exact_name
27260,수성구,Suseong-gu,128.6612017705189,35.83382835262257,exact_name
27290,달서구,Dalseo-gu,128.52889953259265,35.82769964166754,exact_name
27710,달성군,Dalseong-gun,128.49834722757635,35.75963733496966,exact_name
27720,군위군,Gunwi-gun,128.5653829159342,35.82979620353635,province_proxy
28110,중구,Jung-gu,126.48221153204383,37.46866465691395,exact_name
28114,중구영종출장소,Jung-gu youngjong branch office,126.38055971866946,37.57904198632752,province_proxy
28118,중구용유출장소,Jung-gu yongyu branch office,126.38055971866946,37.57904198632752,province_proxy
28140,동구,Dong-gu,126.63909678825964,37.483318302449526,exact_name
28177,미추홀구,Michuhol-gu,126.38055971866946,37.57904198632752,province_proxy
28185,연수구,Yeonsu-gu,126.64823473811454,37.39406224960903,exact_name
28200,남동구,Nam-dong,126.38055971866946,37.57904198632752,province_proxy
28237,부평구,Bupyeong-gu,126.72112941193258,37.49661380417823,exact_name
28245,계양구,Gyeyang-gu,126.73465734363852,37.55726672512272,exact_name
28260,서구,Seo-gu,126.6517491984802,37.5595730473697,exact_name
28265,서구검단출장소,Seo-gu geomdan branch office,126.38055971866946,37.57904198632752,province_proxy
28710,강화군,Ganghwa-gun,126.40234464930292,37.71253967142944,exact_name
28720,옹진군,Ongjin-gun,125.66541031597849,37.52384458943172,exact_name
29110,동구,Dong-gu,126.94948674053408,35.11739355119129,exact_name
29140,서구,Seo-gu,126.85061140843736,35.13562936513465,exact_name
29155,남구,Nam-gu,126.85690217250176,35.094082855868535,exact_name
29170,북구,Buk-gu,126.92542338279401,35.19323776908557,exact_name
29200,광산구,Gwangsan-gu,126.7529281036821,35.165061006833184,exact_name
30110,동구,Dong-gu,127.47509341915278,36.32401788731582,exact_name
30140,중구,Jung-gu,127.41112628527746,36.280805314402386,exact_name
30170,서구,Seo-gu,127.34521433988064,36.28035187651738,exact_name
30200,유성구,Yuseong-gu,127.33325523681366,36.37674044577692,exact_name
30230,대덕구,Daedeok-gu,127.44016699322634,36.412353985963506,exact_name
31110,중구,Jung-gu,129.30824107636602,35.571095602490956,exact_name
31140,남구,Nam-gu,129.32926724039575,35.5154944270418,exact_name
31170,동구,Dong-gu,129.42617025522622,35.52547261998584,exact_name
31200,북구,Buk-gu,129.37990005722418,35.61014127810686,exact_name
31710,울주군,Ulju-gun,129.18750126630763,35.54619301598481,exact_name
36110,세종시,Sejong_si,127.25874913229613,36.560605946196205,exact_name
41110,수원시,Suwon-si,127.00773089257149,37.28039916129017,aggregated_general_gu
41111,장안구,Jangan-gu,127.17561246104174,37.53367403209724,province_proxy
41113,권선구,Gwonseon-gu,127.17561246104174,37.53367403209724,province_proxy
41115,팔달구,Paldal-gu,127.17561246104174,37.53367403209724,province_proxy
41117,영통구,Yondtong-gu,127.17561246104174,37.53367403209724,province_proxy
41130,성남시,Seongnam-si,127.1162610786843,37.40735375846823,aggregated_general_gu
41131,수정구,Sujeong-gu,127.17561246104174,37.53367403209724,province_proxy
41133,중원구,Jungwon-gu,127.17561246104174,37.53367403209724,province_proxy
41135,분당구,Bundang-gu,127.17561246104174,37.53367403209724,province_proxy
41150,의정부시,Uijeongbu-si,127.06842720897042,37.7362205356292,exact_name
41170,안양시,Anyang-si,126.927904833946,37.402654165911116,aggregated_general_gu
41171,만안구,Manan-gu,127.17561246104174,37.53367403209724,province_proxy
41173,동안구,Dongan-gu,127.17561246104174,37.53367403209724,province_proxy
41190,부천시,Bucheon-si,126.78877632006832,37.50421038913882,exact_name
41192,원미구,Wonmi-gu,127.17561246104174,37.53367403209724,province_proxy
41194,소사구,Sosa-gu,127.17561246104174,37.53367403209724,province_proxy
41196,오정구,Ojeong-gu,127.17561246104174,37.53367403209724,province_proxy
41210,광명시,Gwangmyeong-si,126.86473543631071,37.445162886969094,exact_name
41220,평택시,Pyeongtaek-si,126.99345907460848,37.015445971695755,exact_name
41222,송탄출장소,Songtan branch office,127.17561246104174,37.53367403209724,province_proxy
41224,안중출장소,Anjung branch office,127.17561246104174,37.53367403209724,province_proxy
41250,동두천시,Dongducheon-si,127.07795331131007,37.91650936102972,exact_name
41270,안산시,Ansan-si,126.74697826199753,37.29089209757712,aggregated_general_gu
41271,상록구,Sangnok-gu,127.17561246104174,37.53367403209724,province_proxy
41273,단원구,Danwon-gu,127.17561246104174,37.53367403209724,province_proxy
41280,고양시,Goyang-si,126.83693961051806,37.664954526389266,aggregated_general_gu
41281,덕양구,Deogyang-gu,127.17561246104174,37.53367403209724,province_proxy
