year,region_code,region,population_total,population_20s,population_30s,population_20_39,share_of_region_total_pct,share_of_national_20_39_pct
2025,00,전국,51117378,5682242,6676457,12358699,24.2,100.0
2025,CAP,수도권,26081644,3150655,3819918,6970573,26.7,56.4
2025,11,서울특별시,9299548,1254885,1462944,2717829,29.2,22.0
2025,28,인천광역시,3051961,338166,431527,769693,25.2,6.2
2025,41,경기도,13730135,1557604,1925447,3483051,25.4,28.2
