sido,sigungu,region,total_population,foreign_residents,registered_foreigners,mois_minus_moj_people,gap_share_of_total_population_pct,mois_to_moj_ratio
전라남도,강진군,전라남도 강진군,31042,1370,631,739,2.38,2.17
전북특별자치도,순창군,전북특별자치도 순창군,25494,1207,472,735,2.88,2.56
경상북도,청송군,경상북도 청송군,23079,1066,346,720,3.12,3.08
강원특별자치도,양구군,강원특별자치도 양구군,20443,1137,432,705,3.45,2.63
강원특별자치도,고성군,강원특별자치도 고성군,27774,2614,1926,688,2.48,1.36
전라남도,곡성군,전라남도 곡성군,25990,1238,571,667,2.57,2.17
경상남도,남해군,경상남도 남해군,39011,1832,1180,652,1.67,1.55
강원특별자치도,영월군,강원특별자치도 영월군,35449,1124,475,649,1.83,2.37
경상북도,영양군,경상북도 영양군,15059,890,260,630,4.18,3.42
충청북도,단양군,충청북도 단양군,26597,963,335,628,2.36,2.87
경상남도,의령군,경상남도 의령군,24609,1570,967,603,2.45,1.62
강원특별자치도,태백시,강원특별자치도 태백시,37590,953,357,596,1.59,2.67
경기도,과천시,경기도 과천시,81213,816,261,555,0.68,3.13
강원특별자치도,화천군,강원특별자치도 화천군,22278,821,297,524,2.35,2.76
전라남도,구례군,전라남도 구례군,22724,703,201,502,2.21,3.5
강원특별자치도,양양군,강원특별자치도 양양군,26687,866,447,419,1.57,1.94
대구광역시,중구,대구광역시 중구,94128,1363,962,401,0.43,1.42
충청남도,계룡시,충청남도 계룡시,45026,645,294,351,0.78,2.19
대구광역시,군위군,대구광역시 군위군,21493,925,582,343,1.6,1.59
인천광역시,옹진군,인천광역시 옹진군,19192,836,597,239,1.25,1.4
경상북도,울릉군,경상북도 울릉군,8515,282,151,131,1.54,1.87
