year,parental_leave_per_user_million_krw,female_parental_leave_per_user_million_krw,male_parental_leave_per_user_million_krw,parental_leave_amount_million_krw
2017,7.55,7.92,5.13,680430
2018,8.46,8.99,5.99,839083
2019,10.07,10.68,7.79,1058853
2020,10.82,11.55,8.57,1212143
2021,11.74,12.57,9.41,1297525
2022,12.64,13.64,10.18,1657231
2023,14.26,15.49,11.11,1796995
2024,15.49,16.58,13.12,2052487
2025,19.69,21.81,15.99,3629169
