year,C1,region,youth_net_migration_20_34,total_net_migration,region_kosis,youth_share_19_39,youth_population_19_39,total_population,youth_employment_rate_15_29,grdp_per_capita_thousand_won,businesses_per_1000_people,under40_homeownership_rate,under40_nonowner_rate,capital_area,youth_net_migration_rate_per_1000,total_net_migration_rate_per_1000,log_grdp_per_capita,capital_area_numeric
2021,46,전라남도,-9981,-4487,전라남도,21.8,387056.0,1778124.0,37.2,52489.0,128.0,37.97,62.03,False,-25.786966227109257,-2.523446058880033,10.868358902817011,0
2022,46,전라남도,-7059,-345,전라남도,21.3,377463.0,1771431.0,40.1,54179.0,130.1,37.46,62.54,False,-18.701170710771652,-0.19475779750947117,10.900048658473553,0
2023,46,전라남도,-5866,-1800,전라남도,21.3,377695.0,1776668.0,39.4,55892.0,134.7,36.86,63.14,False,-15.531050185996637,-1.0131324479306207,10.931176536200338,0
2024,46,전라남도,-6399,-3988,전라남도,21.1,375501.0,1778338.0,41.2,59177.0,141.5,35.49,64.51,False,-17.041232912828463,-2.2425433185367463,10.988288231867655,0
2015,47,경상북도,-7177,-577,경상북도,26.5,710787.0,2680294.0,41.1,40916.0,,37.2,62.8,False,-10.097258391051048,-0.21527489148578477,10.619276463576899,0
2016,47,경상북도,-9567,-3151,경상북도,26.3,705128.0,2682169.0,40.0,41820.0,,35.04,64.96,False,-13.567749401527099,-1.1747954733650265,10.641129972982625,0
2017,47,경상북도,-10043,-5581,경상북도,25.9,693453.0,2677058.0,39.4,43005.0,,35.24,64.76,False,-14.482596513390236,-2.0847512455837713,10.66907166698558,0
2018,47,경상북도,-11769,-9225,경상북도,25.7,686509.0,2672902.0,37.3,43129.0,,35.85,64.15,False,-17.14325667981046,-3.451304986116214,10.671950903655498,0
2019,47,경상북도,-11395,-4571,경상북도,25.3,674272.0,2668154.0,38.7,42598.0,,35.04,64.96,False,-16.899708129656876,-1.7131694797226846,10.659562582798547,0
2020,47,경상북도,-18140,-16978,경상북도,24.3,643760.0,2644757.0,38.0,42263.0,121.6,32.8,67.2,False,-28.178203057039887,-6.419493359881456,10.651667277765442,0
2021,47,경상북도,-8357,3337,경상북도,23.6,621957.0,2635314.0,38.7,44957.0,125.1,32.93,67.07,False,-13.436620216510144,1.2662627679282241,10.713461756362648,0
2022,47,경상북도,-11063,-7666,경상북도,22.9,600538.0,2620373.0,42.1,46243.0,128.2,30.99,69.01,False,-18.421815105788475,-2.925537700167114,10.741665380134448,0
2023,47,경상북도,-8709,-8205,경상북도,22.6,586044.0,2589880.0,39.2,48791.0,131.8,29.38,70.62,False,-14.860658926633494,-3.168100452530619,10.795301148603121,0
2024,47,경상북도,-8293,-8003,경상북도,22.3,575591.0,2578999.0,41.3,52298.0,136.1,29.81,70.19,False,-14.407799982974023,-3.103141955464116,10.864713408404029,0
2015,48,경상남도,-3194,5105,경상남도,27.8,928576.0,3334524.0,36.9,32739.0,,42.94,57.06,False,-3.439675373905852,1.5309531435371286,10.3963223067812,0
2016,48,경상남도,-6425,1772,경상남도,27.5,918600.0,3339633.0,40.0,34005.0,,41.21,58.79,False,-6.99433921184411,0.5305972243057845,10.43426285160974,0
2017,48,경상남도,-8130,3979,경상남도,27.0,903710.0,3345293.0,39.0,33985.0,,41.85,58.15,False,-8.996248796627237,1.1894324353651535,10.433674529780738,0
2018,48,경상남도,-11117,-5810,경상남도,26.7,894036.0,3350350.0,38.7,34291.0,,41.69,58.31,False,-12.434622319459171,-1.7341471786529767,10.442638208053022,0
2019,48,경상남도,-13056,-9310,경상남도,26.1,874960.0,3347209.0,39.3,35355.0,,40.34,59.66,False,-14.92182499771418,-2.7814217755748145,10.473195104038341,0
2020,48,경상남도,-17934,-16658,경상남도,25.3,841777.0,3333056.0,37.7,34325.0,115.9,38.62,61.38,False,-21.30492992799756,-4.997815818276081,10.443629230636171,0
2021,48,경상남도,-17136,-13703,경상남도,24.2,799729.0,3305931.0,39.4,35661.0,118.5,37.96,62.04,False,-21.427258483811393,-4.144974592633663,10.481812933648735,0
2022,48,경상남도,-17982,-18547,경상남도,23.3,764083.0,3280829.0,39.9,38612.0,121.2,36.17,63.83,False,-23.534092500422076,-5.653144372961834,10.561318387968505,0
2023,48,경상남도,-14147,-16300,경상남도,22.8,744740.0,3271148.0,39.0,42638.0,122.8,34.32,65.68,False,-18.99589118350028,-4.9829601106400565,10.660501153424487,0
2024,48,경상남도,-10843,-9069,경상남도,22.3,729454.0,3264243.0,36.5,46550.0,125.1,33.15,66.85,False,-14.864542520844356,-2.77828580776615,10.748282282705214,0
2015,50,제주특별자치도,2114,14257,제주특별자치도,27.1,164399.0,605619.0,43.2,30275.0,,36.08,63.92,False,12.85895899610095,23.541203297782932,10.318077568421293,0
2016,50,제주특별자치도,2481,14632,제주특별자치도,27.0,168611.0,623332.0,46.5,32389.0,,34.67,65.33,False,14.714342480621074,23.47384700288129,10.385574137962314,0
2017,50,제주특별자치도,2605,14005,제주특별자치도,27.1,174204.0,641757.0,47.8,34134.0,,34.09,65.91,False,14.953732405685288,21.82290181486139,10.438049233978703,0
2018,50,제주특별자치도,1308,8853,제주특별자치도,27.4,180536.0,658282.0,45.9,33673.0,,33.75,66.25,False,7.245092391545176,13.448643590436925,10.424451608275042,0
2019,50,제주특별자치도,-508,2936,제주특별자치도,27.1,180151.0,665048.0,43.7,33545.0,,32.77,67.23,False,-2.8198566757886443,4.414718937580445,10.420643099996989,0
2020,50,제주특별자치도,-558,3378,제주특별자치도,26.6,178409.0,670858.0,41.6,32404.0,139.3,30.64,69.36,False,-3.1276449058063216,5.035342799817547,10.386037150950381,0
2021,50,제주특별자치도,-795,3917,제주특별자치도,25.7,173062.0,673107.0,42.6,33861.0,142.0,30.78,69.22,False,-4.593729414891773,5.819282818333489,10.430019188623737,0
2022,50,제주특별자치도,-1055,3148,제주특별자치도,25.0,169351.0,676375.0,47.5,35999.0,142.1,30.51,69.49,False,-6.229665015264156,4.654222879319904,10.49124643927466,0
2023,50,제주특별자치도,-1969,-1687,제주특별자치도,24.4,165367.0,676767.0,46.4,38570.0,146.8,30.28,69.72,False,-11.906849613284392,-2.4927338360174183,10.560230051202273,0
2024,50,제주특별자치도,-2291,-3361,제주특별자치도,24.0,161707.0,674817.0,42.1,39914.0,149.4,30.47,69.53,False,-14.167599423648944,-4.9806095578504985,10.59448241852793,0
2015,51,강원특별자치도,-2246,4773,강원특별자치도,26.1,396506.0,1518040.0,33.3,27608.0,,30.48,69.52,False,-5.664479226039455,3.144185923954573,10.22586086477784,0
2016,51,강원특별자치도,-5231,1892,강원특별자치도,26.0,395963.0,1521751.0,35.6,29380.0,,28.12,71.88,False,-13.210830304851717,1.2433045879384996,10.288069449727868,0
2017,51,강원특별자치도,-4537,2035,강원특별자치도,25.7,391258.0,1521386.0,41.2,31200.0,,28.7,71.3,False,-11.595929028927204,1.337596113017998,10.348173373797573,0
2018,51,강원특별자치도,-7977,-3854,강원특별자치도,25.5,387606.0,1520391.0,42.4,32267.0,,28.7,71.3,False,-20.580176777449267,-2.5348742527415644,10.38180031512171,0
