year,C1,region,youth_net_migration_20_34,total_net_migration,region_kosis,youth_share_19_39,youth_population_19_39,total_population,youth_employment_rate_15_29,grdp_per_capita_thousand_won,businesses_per_1000_people,under40_homeownership_rate,under40_nonowner_rate,capital_area,youth_net_migration_rate_per_1000,total_net_migration_rate_per_1000,log_grdp_per_capita,capital_area_numeric
2020,27,대구광역시,-6886,-16835,대구광역시,27.2,656333.0,2410700.0,37.8,25928.0,117.0,30.98,69.02,False,-10.49162544013481,-6.983448790807649,10.163078744821384,0
2021,27,대구광역시,-10817,-24319,대구광역시,26.6,634839.0,2387911.0,42.6,27770.0,117.3,30.21,69.79,False,-17.038965785025812,-10.18421540836321,10.231711580300844,0
2022,27,대구광역시,-7369,-11519,대구광역시,25.9,613331.0,2366852.0,41.3,29654.0,118.1,28.56,71.44,False,-12.014719621215951,-4.8668019800139595,10.297352302577972,0
2023,27,대구광역시,-7120,-5288,대구광역시,25.3,600884.0,2379188.0,42.3,30664.0,120.2,27.63,72.37,False,-11.84920883232038,-2.2226070407214564,10.33084460706039,0
2024,27,대구광역시,-6382,-4712,대구광역시,24.8,587067.0,2369335.0,37.5,31374.0,121.4,28.88,71.12,False,-10.87099087497679,-1.9887436770232996,10.353734803416186,0
2015,28,인천광역시,2856,9538,인천광역시,30.8,890270.0,2890451.0,42.2,28376.0,,39.31,60.69,True,3.2080155458456425,3.299831064425586,10.253298996453458,1
2016,28,인천광역시,3105,5777,인천광역시,30.5,889483.0,2913024.0,44.4,29864.0,,37.84,62.16,True,3.490791842002601,1.9831625142806923,10.30440902059442,1
2017,28,인천광역시,1251,-1670,인천광역시,30.3,886151.0,2925967.0,45.1,31198.0,,37.53,62.47,True,1.411723284180687,-0.5707514814760385,10.348109269178813,1
2018,28,인천광역시,1727,-67,인천광역시,30.0,879748.0,2936117.0,47.9,31688.0,,37.77,62.23,True,1.9630621496155718,-0.022819254137352158,10.363693339301753,1
2019,28,인천광역시,485,-2337,인천광역시,29.6,874356.0,2952237.0,48.8,32272.0,,35.01,64.99,True,0.5546939690469328,-0.7916031131646951,10.381955260193992,1
2020,28,인천광역시,-4944,-15748,인천광역시,29.0,853655.0,2945454.0,46.8,32292.0,104.0,32.62,67.38,True,-5.791566850776953,-5.3465441999773216,10.382574800514906,1
2021,28,인천광역시,2875,11423,인천광역시,28.3,836456.0,2957044.0,46.9,35388.0,104.8,31.99,68.01,True,3.437120422353358,3.8629793807599753,10.474128058603277,1
2022,28,인천광역시,7080,28101,인천광역시,27.8,830502.0,2989125.0,50.6,38065.0,106.9,30.2,69.8,True,8.524964419110368,9.401078911052565,10.547050503740312,1
2023,28,인천광역시,7890,33507,인천광역시,27.3,825978.0,3025950.0,49.2,39104.0,107.5,28.88,71.12,True,9.5523125313265,11.073216675754722,10.573980042531268,1
2024,28,인천광역시,7579,25643,인천광역시,26.9,822644.0,3058033.0,47.4,41187.0,108.9,28.08,71.92,True,9.212976694657712,8.385455618039439,10.625877951565714,1
2015,29,광주광역시,-5875,-9272,광주광역시,30.9,464716.0,1502881.0,35.3,24731.0,,35.64,64.36,False,-12.642129816920441,-6.169483811426187,10.115812796414458,0
2016,29,광주광역시,-4310,-7898,광주광역시,30.5,457267.0,1501557.0,34.1,26248.0,,34.6,65.4,False,-9.425565369904236,-5.259873584552568,10.175345074640937,0
2017,29,광주광역시,-4815,-8118,광주광역시,30.3,452782.0,1496172.0,36.3,27449.0,,33.77,66.23,False,-10.634256662146463,-5.425846760933903,10.220085016401597,0
