C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
동래구,Dongnae-gu,17.0,2008.0,2024.0,215166.0,181457.0,-33709.0,-15.67,-2443.2,-0.244,0.972,26260.0,working_age,15-64세 생산연령인구,감소,21060,동래구,global_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,224088.0,168538.0,-55550.0,-24.79,-3805.3,-0.381,0.974,26290.0,working_age,15-64세 생산연령인구,감소,21070,남구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,240887.0,180057.0,-60830.0,-25.25,-3762.0,-0.376,0.856,26320.0,working_age,15-64세 생산연령인구,감소,21080,북구,province_exact_name
해운대구,Haeundae-gu,17.0,2008.0,2024.0,313902.0,253345.0,-60557.0,-19.29,-3987.1,-0.399,0.843,26350.0,working_age,15-64세 생산연령인구,감소,21090,해운대구,global_exact_name
사하구,Saha-gu,17.0,2008.0,2024.0,276881.0,194278.0,-82603.0,-29.83,-5350.4,-0.535,0.964,26380.0,working_age,15-64세 생산연령인구,급격한 감소,21100,사하구,global_exact_name
금정구,Geumjeong-gu,17.0,2008.0,2024.0,195277.0,137419.0,-57858.0,-29.63,-3603.1,-0.36,0.911,26410.0,working_age,15-64세 생산연령인구,감소,21110,금정구,global_exact_name
강서구,Gangseo-gu,17.0,2008.0,2024.0,38964.0,95363.0,56399.0,144.75,4251.0,0.425,0.94,26440.0,working_age,15-64세 생산연령인구,증가,21120,강서구,province_exact_name
연제구,Yeonje-gu,17.0,2008.0,2024.0,160849.0,141858.0,-18991.0,-11.81,-1480.8,-0.148,0.943,26470.0,working_age,15-64세 생산연령인구,감소,21130,연제구,global_exact_name
수영구,Suyeong-gu,17.0,2008.0,2024.0,134129.0,113866.0,-20263.0,-15.11,-1223.9,-0.122,0.886,26500.0,working_age,15-64세 생산연령인구,감소,21140,수영구,global_exact_name
사상구,Sasang-gu,17.0,2008.0,2024.0,201781.0,135051.0,-66730.0,-33.07,-4506.8,-0.451,0.971,26530.0,working_age,15-64세 생산연령인구,감소,21150,사상구,global_exact_name
기장군,Gijang-gun,17.0,2008.0,2024.0,57885.0,116502.0,58617.0,101.26,3905.6,0.391,0.88,26710.0,working_age,15-64세 생산연령인구,증가,21310,기장군,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,57948.0,68166.0,10218.0,17.63,199.1,0.02,0.073,27110.0,working_age,15-64세 생산연령인구,완만한 증가,22010,중구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,243025.0,227536.0,-15489.0,-6.37,-1235.5,-0.124,0.539,27140.0,working_age,15-64세 생산연령인구,감소,22020,동구,province_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,175274.0,106437.0,-68837.0,-39.27,-5049.9,-0.505,0.964,27170.0,working_age,15-64세 생산연령인구,급격한 감소,22030,서구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,130875.0,89507.0,-41368.0,-31.61,-2684.2,-0.268,0.987,27200.0,working_age,15-64세 생산연령인구,감소,22040,남구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,334046.0,292697.0,-41349.0,-12.38,-1960.9,-0.196,0.736,27230.0,working_age,15-64세 생산연령인구,감소,22050,북구,province_exact_name
수성구,Suseong-gu,17.0,2008.0,2024.0,328122.0,280875.0,-47247.0,-14.4,-3735.0,-0.373,0.814,27260.0,working_age,15-64세 생산연령인구,감소,22060,수성구,global_exact_name
달서구,Dalseo-gu,17.0,2008.0,2024.0,444007.0,367756.0,-76251.0,-17.17,-5522.4,-0.552,0.758,27290.0,working_age,15-64세 생산연령인구,급격한 감소,22070,달서구,global_exact_name
달성군,Dalseong-gun,17.0,2008.0,2024.0,121466.0,177163.0,55697.0,45.85,4697.5,0.47,0.863,27710.0,working_age,15-64세 생산연령인구,증가,22310,달성군,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,64723.0,119939.0,55216.0,85.31,3445.6,0.345,0.965,28110.0,working_age,15-64세 생산연령인구,증가,23010,중구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,54600.0,37852.0,-16748.0,-30.67,-1327.7,-0.133,0.948,28140.0,working_age,15-64세 생산연령인구,감소,23020,동구,province_exact_name
남구,Nam-gu,10.0,2008.0,2017.0,316961.0,310003.0,-6958.0,-2.2,-1453.2,-0.145,0.544,28170.0,working_age,15-64세 생산연령인구,감소,23030,남구,province_exact_name
연수구,Yeonsu-gu,17.0,2008.0,2024.0,200752.0,290894.0,90142.0,44.9,6248.8,0.625,0.972,28185.0,working_age,15-64세 생산연령인구,급격한 증가,23040,연수구,global_exact_name
남동구,Namdong-gu,17.0,2008.0,2024.0,337141.0,345543.0,8402.0,2.49,711.9,0.071,0.028,28200.0,working_age,15-64세 생산연령인구,완만한 증가,23050,남동구,global_exact_name
부평구,Bupyeong-gu,17.0,2008.0,2024.0,426794.0,353912.0,-72882.0,-17.08,-5519.9,-0.552,0.854,28237.0,working_age,15-64세 생산연령인구,급격한 감소,23060,부평구,global_exact_name
계양구,Gyeyang-gu,17.0,2008.0,2024.0,256027.0,205818.0,-50209.0,-19.61,-3797.2,-0.38,0.795,28245.0,working_age,15-64세 생산연령인구,감소,23070,계양구,global_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,287722.0,461831.0,174109.0,60.51,10282.8,1.028,0.952,28260.0,working_age,15-64세 생산연령인구,급격한 증가,23080,서구,province_exact_name
강화군,Ganghwa-gun,17.0,2008.0,2024.0,44401.0,37686.0,-6715.0,-15.12,-348.6,-0.035,0.876,28710.0,working_age,15-64세 생산연령인구,완만한 감소,23310,강화군,global_exact_name
옹진군,Ongjin-gun,17.0,2008.0,2024.0,11865.0,12219.0,354.0,2.98,-1.0,-0.0,0.0,28720.0,working_age,15-64세 생산연령인구,완만한 감소,23320,옹진군,global_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,80707.0,70255.0,-10452.0,-12.95,-627.1,-0.063,0.483,29110.0,working_age,15-64세 생산연령인구,완만한 감소,24010,동구,province_exact_name
서구,Seo-gu,17.0,2008.0,2024.0,218554.0,199351.0,-19203.0,-8.79,-1244.3,-0.124,0.385,29140.0,working_age,15-64세 생산연령인구,감소,24020,서구,province_exact_name
남구,Nam-gu,17.0,2008.0,2024.0,156159.0,137758.0,-18401.0,-11.78,-1198.4,-0.12,0.735,29155.0,working_age,15-64세 생산연령인구,감소,24030,남구,province_exact_name
북구,Buk-gu,17.0,2008.0,2024.0,345317.0,297245.0,-48072.0,-13.92,-2948.2,-0.295,0.938,29170.0,working_age,15-64세 생산연령인구,감소,24040,북구,province_exact_name
광산구,Gwangsan-gu,17.0,2008.0,2024.0,219478.0,291757.0,72279.0,32.93,4023.9,0.402,0.699,29200.0,working_age,15-64세 생산연령인구,증가,24050,광산구,global_exact_name
