year,maternity_leave_users,maternity_leave_amount_million_krw,parental_leave_total_users,female_parental_leave_users,male_parental_leave_users,parental_leave_amount_million_krw,female_parental_leave_amount_million_krw,male_parental_leave_amount_million_krw,male_parental_leave_share_pct,maternity_leave_per_user_million_krw,parental_leave_per_user_million_krw,female_parental_leave_per_user_million_krw,male_parental_leave_per_user_million_krw
2017,81083,242577,90122,78080,12042,680430,618696,61734,13.36,2.99,7.55,7.92,5.13
2018,76394,248402,99199,81537,17662,839083,733354,105729,17.8,3.25,8.46,8.99,5.99
2019,73279,268479,105165,82868,22297,1058853,885073,173780,21.2,3.66,10.07,10.68,7.79
2020,70933,285736,112038,84617,27421,1212143,977216,234927,24.47,4.03,10.82,11.55,8.57
2021,70275,289311,110555,81514,29041,1297525,1024231,273293,26.27,4.12,11.74,12.57,9.41
2022,72619,302785,131084,93200,37884,1657231,1271631,385600,28.9,4.17,12.64,13.64,10.18
2023,72204,321351,126008,90672,35336,1796995,1404497,392498,28.04,4.45,14.26,15.49,11.11
2024,76668,348201,132535,90706,41829,2052487,1503696,548791,31.56,4.54,15.49,16.58,13.12
2025,89574,410060,184329,117129,67200,3629169,2554923,1074246,36.46,4.58,19.69,21.81,15.99
