sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
경상북도,칠곡군,경상북도 칠곡군,52,132937.67307692306,113760.88461538461,246698.5576923077,46.113315651107996,13.293767307692306,11.37608846153846,24.669855769230768
경상남도,밀양시,경상남도 밀양시,52,174355.65384615384,71894.42307692308,246250.07692307694,29.195695682719037,17.435565384615384,7.189442307692308,24.625007692307694
경상북도,영주시,경상북도 영주시,52,203734.01923076922,42294.903846153844,246028.92307692306,17.191029134785904,20.373401923076923,4.229490384615384,24.602892307692308
충청남도,보령시,충청남도 보령시,52,172263.82692307694,70067.09615384616,242330.92307692306,28.913807311172075,17.226382692307695,7.006709615384616,24.233092307692306
전북특별자치도,정읍시,전북특별자치도 정읍시,52,185994.59615384616,51531.61538461538,237526.21153846153,21.695127898030364,18.599459615384614,5.153161538461538,23.752621153846153
전북특별자치도,완주군,전북특별자치도 완주군,52,115759.80769230769,118662.73076923077,234422.53846153847,50.61916467076381,11.57598076923077,11.866273076923077,23.442253846153847
경상북도,영천시,경상북도 영천시,52,157572.32692307694,73540.96153846153,231113.28846153847,31.820308571612106,15.757232692307694,7.354096153846153,23.111328846153846
충청북도,음성군,충청북도 음성군,52,135475.40384615384,93255.30769230769,228730.71153846153,40.77078546429766,13.547540384615385,9.325530769230769,22.873071153846155
경상북도,상주시,경상북도 상주시,52,167866.4423076923,57363.480769230766,225229.92307692306,25.468854220422276,16.78664423076923,5.736348076923076,22.522992307692306
경기도,과천시,경기도 과천시,52,124684.32692307692,95048.28846153847,219732.61538461538,43.2563405733682,12.468432692307692,9.504828846153847,21.97326153846154
부산광역시,중구,부산광역시 중구,52,61578.846153846156,155547.42307692306,217126.26923076922,71.63915431697578,6.157884615384615,15.554742307692306,21.71262692307692
충청남도,홍성군,충청남도 홍성군,52,147275.32692307694,55234.67307692308,202510.0,27.275034851080477,14.727532692307694,5.523467307692308,20.251
전북특별자치도,남원시,전북특별자치도 남원시,52,151793.78846153847,47498.653846153844,199292.4423076923,23.833645318481047,15.179378846153847,4.749865384615385,19.929244230769232
전북특별자치도,김제시,전북특별자치도 김제시,52,133268.53846153847,65160.07692307692,198428.61538461538,32.83804445078486,13.326853846153847,6.516007692307692,19.842861538461538
전라남도,무안군,전라남도 무안군,52,120245.73076923077,78113.36538461539,198359.09615384616,39.379774812056574,12.024573076923076,7.811336538461539,19.835909615384615
강원특별자치도,동해시,강원특별자치도 동해시,52,145612.67307692306,45548.5,191161.17307692306,23.82727583580549,14.561267307692306,4.55485,19.116117307692306
충청남도,예산군,충청남도 예산군,52,108927.90384615384,75425.21153846153,184353.11538461538,40.91344558029417,10.892790384615385,7.542521153846153,18.435311538461537
