year,maternity_leave_users,parental_leave_total_users,maternity_leave_amount_million_krw,parental_leave_amount_million_krw,maternity_leave_amount_trillion_krw,parental_leave_amount_trillion_krw,total_maternity_parental_amount_trillion_krw,parental_leave_share_pct
2017,81083,90122,242577,680430,0.243,0.68,0.923,73.7
2018,76394,99199,248402,839083,0.248,0.839,1.087,77.2
2019,73279,105165,268479,1058853,0.268,1.059,1.327,79.8
2020,70933,112038,285736,1212143,0.286,1.212,1.498,80.9
2021,70275,110555,289311,1297525,0.289,1.298,1.587,81.8
2022,72619,131084,302785,1657231,0.303,1.657,1.96,84.6
2023,72204,126008,321351,1796995,0.321,1.797,2.118,84.8
2024,76668,132535,348201,2052487,0.348,2.052,2.401,85.5
2025,89574,184329,410060,3629169,0.41,3.629,4.039,89.8
