year,actual_cbr,predicted_std_cbr
2015,8.894117647058822,1.224
2016,8.270588235294117,0.823
2017,7.3,0.551
2018,6.676470588235294,0.456
2019,6.164705882352941,0.108
2020,5.4941176470588236,-0.41
2021,5.241176470588235,-0.714
2022,4.9411764705882355,-0.779
2023,4.5588235294117645,-0.818
2024,4.688235294117647,-0.442
