old_code,current_code,current_name,current_name_eng,match_quality
34050,44210,서산시,Seosan-si,exact_name
34060,44230,논산시,Nonsan-si,exact_name
34080,44270,당진시,Dangjin-si,exact_name
34310,44710,금산군,Geumsan-gun,exact_name
34330,44760,부여군,Buyeo-gun,exact_name
34340,44770,서천군,Seocheon-gun,exact_name
34350,44790,청양군,Cheongyang-gun,exact_name
34360,44800,홍성군,Hongseong-gun,exact_name
34370,44810,예산군,Yesan-gun,exact_name
34380,44825,태안군,Taean-gun,exact_name
36010,46110,목포시,Mokpo-si,exact_name
36020,46130,여수시,Yeosu-si,exact_name
36030,46150,순천시,Suncheon-si,exact_name
36040,46170,나주시,Naju-si,exact_name
36060,46230,광양시,Gwangyang-si,exact_name
36310,46710,담양군,Damyang-gun,exact_name
36320,46720,곡성군,Gokseong-gun,exact_name
36330,46730,구례군,Gurye-gun,exact_name
36350,46770,고흥군,Goheung-gun,exact_name
36360,46780,보성군,Boseong-gun,exact_name
36370,46790,화순군,Hwasun-gun,exact_name
36380,46800,장흥군,Jangheung-gun,exact_name
36390,46810,강진군,Gangjin-gun,exact_name
36400,46820,해남군,Haenam-gun,exact_name
36410,46830,영암군,Yeongam-gun,exact_name
36420,46840,무안군,Muan-gun,exact_name
36430,46860,함평군,Hampyeong-gun,exact_name
36440,46870,영광군,Yeonggwang-gun,exact_name
36450,46880,장성군,Jangseong-gun,exact_name
36460,46890,완도군,Wando-gun,exact_name
36470,46900,진도군,Jindo-gun,exact_name
36480,46910,신안군,Sinan-gun,exact_name
37011,47111,남구,Nam-gu,exact_name
37012,47113,북구,Buk-gu,exact_name
37020,47130,경주시,Gyeongju-si,exact_name
37030,47150,김천시,Gimcheon-si,exact_name
37040,47170,안동시,Andong-si,exact_name
37050,47190,구미시,Gumi-si,exact_name
37060,47210,영주시,Yeongju-si,exact_name
37070,47230,영천시,Yeongcheon-si,exact_name
37080,47250,상주시,Sangju-si,exact_name
37090,47280,문경시,Mungyeong-si,exact_name
37100,47290,경산시,Gyeongsan-si,exact_name
37320,47730,의성군,Uiseong-gun,exact_name
37330,47750,청송군,Cheongsong-gun,exact_name
37340,47760,영양군,Yeongyang-gun,exact_name
37350,47770,영덕군,Yeongdeok-gun,exact_name
37360,47820,청도군,Cheongdo-gun,exact_name
37370,47830,고령군,Goryeong-gun,exact_name
37380,47840,성주군,Seongju-gun,exact_name
37390,47850,칠곡군,Chilgok-gun,exact_name
37400,47900,예천군,Yecheon-gun,exact_name
37410,47920,봉화군,Bonghwa-gun,exact_name
37420,47930,울진군,Uljin-gun,exact_name
37430,47940,울릉군,Ulleung-gun,exact_name
38111,48121,의창구,Uichang-gu,exact_name
38112,48123,성산구,Seongsan-gu,exact_name
38113,48125,마산합포구,Masanhappo-gu,exact_name
38114,48127,마산회원구,Masanhoewon-gu,exact_name
38115,48129,진해구,Jinhae-gu,exact_name
38030,48170,진주시,Jinju-si,exact_name
38050,48220,통영시,Tongyeong-si,exact_name
38060,48240,사천시,Sacheon-si,exact_name
38070,48250,김해시,Gimhae-si,exact_name
38080,48270,밀양시,Miryang-si,exact_name
38090,48310,거제시,Geoje-si,exact_name
38100,48330,양산시,Yangsan-si,exact_name
38310,48720,의령군,Uiryeong-gun,exact_name
38320,48730,함안군,Haman-gun,exact_name
38330,48740,창녕군,Changnyeong-gun,exact_name
38340,48820,고성군,Goseong-gun,exact_name
38350,48840,남해군,Namhae-gun,exact_name
38370,48860,산청군,Sancheong-gun,exact_name
38380,48870,함양군,Hamyang-gun,exact_name
38390,48880,거창군,Geochang-gun,exact_name
38400,48890,합천군,Hapcheon-gun,exact_name
39010,50110,제주시,Jeju-si,exact_name
39020,50130,서귀포시,Seogwipo-si,exact_name
32010,51110,춘천시,Chuncheon-si,exact_name
32020,51130,원주시,Wonju-si,exact_name
32030,51150,강릉시,Gangneung-si,exact_name
32040,51170,동해시,Donghae-si,exact_name
32050,51190,태백시,Taebaek-si,exact_name
32060,51210,속초시,Sokcho-si,exact_name
32070,51230,삼척시,Samcheok-si,exact_name
32310,51720,홍천군,Hongcheon-gun,exact_name
32320,51730,횡성군,Hoengseong-gun,exact_name
32330,51750,영월군,Yeongwol-gun,exact_name
32340,51760,평창군,Pyeongchang-gun,exact_name
32350,51770,정선군,Jeongseon-gun,exact_name
32370,51790,화천군,Hwacheon-gun,exact_name
32380,51800,양구군,Yanggu-gun,exact_name
32390,51810,인제군,Inje-gun,exact_name
32400,51820,고성군,Goseong-gun,exact_name
32410,51830,양양군,Yangyang-gun,exact_name
35011,52110,전주시,Jeonju-si,aggregated_general_gu
35012,52110,전주시,Jeonju-si,aggregated_general_gu
35020,52130,군산시,Gunsan-si,exact_name
35030,52140,익산시,Iksan-si,exact_name
35040,52180,정읍시,Jeongeup-si,exact_name
35050,52190,남원시,Namwon-si,exact_name
35060,52210,김제시,Gimje-si,exact_name
35310,52710,완주군,Wanju-gun,exact_name
35320,52720,진안군,Jinan-gun,exact_name
35330,52730,무주군,Muju-gun,exact_name
35340,52740,장수군,Jangsu-gun,exact_name
35350,52750,임실군,Imsil-gun,exact_name
35360,52770,순창군,Sunchang-gun,exact_name
35370,52790,고창군,Gochang-gun,exact_name
35380,52800,부안군,Buan-gun,exact_name
