sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k
강원특별자치도,양양군,569706.0,27331.666666666668,541851.6666666666,522.6666666666666,강원특별자치도 양양군,20.844173425208854,95.11075303168066,0.09174322662332267,56.9706,2.733166666666667,54.18516666666666,0.05226666666666666
강원특별자치도,고성군,545267.6666666666,26768.666666666668,516699.3333333333,1799.6666666666667,강원특별자치도 고성군,20.36962368938809,94.76067717200665,0.33005196836049333,54.52676666666666,2.6768666666666667,51.66993333333333,0.17996666666666666
경기도,가평군,1024525.6666666666,62245.0,960559.3333333334,1721.3333333333333,경기도 가평군,16.459565694701045,93.75649284205342,0.16801270962139553,102.45256666666667,6.2245,96.05593333333334,0.17213333333333333
강원특별자치도,평창군,583096.6666666666,39905.666666666664,541704.0,1487.0,강원특별자치도 평창군,14.611876341705857,92.90123421502439,0.2550177500585952,58.309666666666665,3.9905666666666666,54.1704,0.1487
인천광역시,옹진군,259565.0,19694.666666666668,239296.33333333334,574.0,인천광역시 옹진군,13.179456367206011,92.19129440923597,0.22113921368443357,25.9565,1.9694666666666667,23.929633333333335,0.0574
강원특별자치도,정선군,399949.0,33285.333333333336,365768.0,895.6666666666666,강원특별자치도 정선군,12.015772712706296,91.45366034169356,0.22394521968217615,39.9949,3.3285333333333336,36.5768,0.08956666666666667
전북특별자치도,무주군,246881.66666666666,22851.333333333332,222947.33333333334,1083.0,전북특별자치도 무주군,10.803818887300523,90.30534196544903,0.4386716983170075,24.688166666666664,2.285133333333333,22.294733333333333,0.1083
강원특별자치도,홍천군,703696.3333333334,66353.0,634659.3333333334,2684.0,강원특별자치도 홍천군,10.605343139471213,90.18937619399277,0.3814145211310371,70.36963333333334,6.6353,63.46593333333334,0.2684
충청남도,태안군,627639.6666666666,59737.0,565484.6666666666,2418.0,충청남도 태안군,10.506715547594734,90.09702488529777,0.38525289723031103,62.76396666666666,5.9737,56.54846666666666,0.2418
충청북도,단양군,278904.6666666667,26988.0,251170.0,746.6666666666666,충청북도 단양군,10.3343955338175,90.05586138154733,0.26771393809593236,27.89046666666667,2.6988,25.117,0.07466666666666666
경상북도,영덕군,331649.6666666667,32883.0,297857.6666666667,909.0,경상북도 영덕군,10.085748461717808,89.81093503285094,0.2740844003059453,33.16496666666667,3.2883,29.785766666666667,0.0909
충청북도,괴산군,352346.0,35777.0,314894.0,1675.0,충청북도 괴산군,9.84839421975012,89.37067541564258,0.47538499088963687,35.2346,3.5777,31.4894,0.1675
강원특별자치도,횡성군,407161.0,45803.666666666664,358736.3333333333,2621.0,강원특별자치도 횡성군,8.889266507048198,88.10675220203638,0.6437257006442169,40.7161,4.5803666666666665,35.87363333333333,0.2621
대구광역시,군위군,197439.66666666666,22361.666666666668,174501.66666666666,576.3333333333334,대구광역시 군위군,8.829380636505924,88.3822737410078,0.2919035182055616,19.743966666666665,2.2361666666666666,17.450166666666664,0.057633333333333335
경상북도,청도군,351595.3333333333,40243.666666666664,310458.0,893.6666666666666,경상북도 청도군,8.736662497618672,88.29980678545222,0.25417478047679815,35.15953333333333,4.024366666666666,31.0458,0.08936666666666666
전라남도,담양군,382833.3333333333,44260.333333333336,337487.6666666667,1085.3333333333333,전라남도 담양군,8.649580888831986,88.15524597300828,0.28350021767522854,38.28333333333333,4.426033333333334,33.74876666666667,0.10853333333333333
부산광역시,동구,705692.0,84306.0,619031.3333333334,2354.6666666666665,부산광역시 동구,8.370602329608806,87.71976065101111,0.33366775684954153,70.5692,8.4306,61.90313333333334,0.23546666666666666
경상남도,산청군,272317.6666666667,32977.666666666664,238357.33333333334,982.6666666666666,경상남도 산청군,8.257639008217684,87.52914794363934,0.36085307233096636,27.23176666666667,3.2977666666666665,23.835733333333334,0.09826666666666667
강원특별자치도,영월군,299818.3333333333,36313.0,262721.0,784.3333333333334,강원특별자치도 영월군,8.256501344789285,87.6267295195424,0.26160285950936957,29.98183333333333,3.6313,26.2721,0.07843333333333334
경상남도,남해군,316577.3333333333,39310.0,276486.6666666667,780.6666666666666,경상남도 남해군,8.053353684389045,87.3362169538354,0.24659588178559846,31.657733333333333,3.931,27.648666666666667,0.07806666666666666
전라남도,구례군,188437.0,23867.666666666668,164322.33333333334,247.0,전라남도 구례군,7.895074228733432,87.2027963368836,0.13107829141835203,18.8437,2.386766666666667,16.432233333333333,0.0247
인천광역시,강화군,537750.3333333334,69633.33333333333,466733.3333333333,1383.6666666666667,인천광역시 강화군,7.7225993298228826,86.79368554552266,0.2573065195682507,53.77503333333334,6.963333333333333,46.67333333333333,0.13836666666666667
강원특별자치도,삼척시,462797.0,61002.0,400739.0,1056.0,강원특별자치도 삼척시,7.586587325005738,86.59066502159695,0.2281777971767319,46.2797,6.1002,40.0739,0.1056
충청남도,보령시,683490.0,92539.33333333333,586787.0,4163.666666666667,충청남도 보령시,7.385940392914004,85.85158524630938,0.6091774081064342,68.349,9.253933333333332,58.6787,0.4163666666666667
전북특별자치도,부안군,346944.6666666667,47457.0,297959.6666666667,1528.0,전북특별자치도 부안군,7.310716367799622,85.88103386322891,0.440416050974507,34.69446666666667,4.7457,29.79596666666667,0.1528
전북특별자치도,진안군,176156.33333333334,24191.333333333332,150879.66666666666,1085.3333333333333,전북특별자치도 진안군,7.281795133243311,85.65100318088666,0.6161193939474217,17.615633333333335,2.4191333333333334,15.087966666666667,0.10853333333333333
충청북도,보은군,201467.0,30338.666666666668,169934.66666666666,1193.6666666666667,충청북도 보은군,6.640601652456711,84.34863608763055,0.5924874379757811,20.1467,3.033866666666667,16.993466666666666,0.11936666666666668
충청남도,공주시,662573.0,100514.0,558750.3333333334,3308.6666666666665,충청남도 공주시,6.591847901784826,84.33038070270497,0.49936635912822686,66.2573,10.0514,55.875033333333334,0.33086666666666664
전북특별자치도,임실군,165974.0,25311.0,140087.0,576.0,전북특별자치도 임실군,6.557386116708151,84.40297877980889,0.3470423078313471,16.5974,2.5311,14.0087,0.0576
