topo_code,kosis_region_code,region,region_eng,husband_total_marriages,wife_total_marriages,korean_husband_foreign_wife,korean_wife_foreign_husband,map_match_note,total_marriages_for_rate,international_marriages,international_marriage_share_pct,year
11210,11210,관악구,Gwanak-gu,2400.0,2358.0,186.0,67.0,direct_topo_code,2379.0,253.0,10.63,2024
24050,24050,광산구,Gwangsan-gu,1622.0,1486.0,122.0,43.0,direct_topo_code,1554.0,165.0,10.62,2024
34011,34010+34011,천안시동남구,Cheonan-si,4394.0,4052.0,329.0,118.0,aggregate_to_child_boundary_code+direct_topo_code,4223.0,447.0,10.58,2024
37310,22520,군위군,Gunwi-gun,41.0,35.0,4.0,0.0,renamed_or_transferred_boundary_code,38.0,4.0,10.53,2024
31260,31260,양주시,Yangju-si,1190.0,1028.0,95.0,21.0,direct_topo_code,1109.0,116.0,10.46,2024
34012,34010+34012,천안시서북구,Cheonan-si,5314.0,4837.0,409.0,122.0,aggregate_to_child_boundary_code+direct_topo_code,5075.5,531.0,10.46,2024
38070,38070,김해시,Gimhae-si,2031.0,1927.0,137.0,69.0,direct_topo_code,1979.0,206.0,10.41,2024
11170,11170,구로구,Guro-gu,1897.0,1939.0,136.0,63.0,direct_topo_code,1918.0,199.0,10.38,2024
31200,31200,파주시,Paju-si,2014.0,1782.0,163.0,33.0,direct_topo_code,1898.0,196.0,10.33,2024
11140,11140,마포구,Mapo-gu,2011.0,2056.0,123.0,87.0,direct_topo_code,2033.5,210.0,10.33,2024
31210,31210,이천시,Icheon-si,1131.0,940.0,86.0,21.0,direct_topo_code,1035.5,107.0,10.33,2024
11220,11220,서초구,Seocho-gu,1793.0,1866.0,99.0,88.0,direct_topo_code,1829.5,187.0,10.22,2024
11130,11130,서대문구,Seodaemun-gu,1340.0,1389.0,90.0,49.0,direct_topo_code,1364.5,139.0,10.19,2024
23030,23090,미추홀구,Michuhol-gu,1891.0,1829.0,134.0,54.0,renamed_or_transferred_boundary_code,1860.0,188.0,10.11,2024
11060,11060,동대문구,Dongdaemun-gu,1491.0,1506.0,107.0,43.0,direct_topo_code,1498.5,150.0,10.01,2024
26030,26030,동구,Dong-gu,620.0,541.0,48.0,10.0,direct_topo_code,580.5,58.0,9.99,2024
22310,22510,달성군,Dalseong-gun,1160.0,1073.0,83.0,28.0,name_prefix_boundary_code,1116.5,111.0,9.94,2024
31350,31550,연천군,Yeoncheon-gun,192.0,110.0,11.0,4.0,name_prefix_boundary_code,151.0,15.0,9.93,2024
21100,21100,사하구,Saha-gu,927.0,950.0,71.0,22.0,direct_topo_code,938.5,93.0,9.91,2024
36010,36010,목포시,Mokpo-si,736.0,763.0,58.0,16.0,direct_topo_code,749.5,74.0,9.87,2024
22030,22030,서구,Seo-gu,648.0,650.0,49.0,15.0,direct_topo_code,649.0,64.0,9.86,2024
11050,11050,광진구,Gwangjin-gu,1512.0,1578.0,100.0,52.0,direct_topo_code,1545.0,152.0,9.84,2024
11230,11230,강남구,Gangnam-gu,2298.0,2422.0,131.0,101.0,direct_topo_code,2360.0,232.0,9.83,2024
21110,21110,금정구,Geumjeong-gu,613.0,614.0,42.0,18.0,direct_topo_code,613.5,60.0,9.78,2024
32370,32570,화천군,Hwacheon-gun,130.0,95.0,9.0,2.0,name_prefix_boundary_code,112.5,11.0,9.78,2024
38100,38100,양산시,Yangsan-si,1448.0,1368.0,113.0,24.0,direct_topo_code,1408.0,137.0,9.73,2024
31240,31240,화성시,Hwaseong-si,5597.0,4664.0,411.0,88.0,direct_topo_code,5130.5,499.0,9.73,2024
34360,34560,홍성군,Hongseong-gun,337.0,306.0,27.0,4.0,name_prefix_boundary_code,321.5,31.0,9.64,2024
32400,32600,고성군,Goseong-gun,105.0,82.0,7.0,2.0,name_prefix_boundary_code,93.5,9.0,9.63,2024
21140,21140,수영구,Suyeong-gu,654.0,709.0,44.0,21.0,direct_topo_code,681.5,65.0,9.54,2024
11150,11150,양천구,Yangcheon-gu,1455.0,1492.0,103.0,37.0,direct_topo_code,1473.5,140.0,9.5,2024
38390,38590,거창군,Geochang-gun,198.0,181.0,15.0,3.0,name_prefix_boundary_code,189.5,18.0,9.5,2024
11120,11120,은평구,Eunpyeong-gu,1875.0,2040.0,135.0,50.0,direct_topo_code,1957.5,185.0,9.45,2024
23070,23070,계양구,Gyeyang-gu,1089.0,1098.0,84.0,18.0,direct_topo_code,1093.5,102.0,9.33,2024
31103,31100+31103,고양시일산동구,Goyang-si,5664.0,5675.0,366.0,160.0,aggregate_to_child_boundary_code+direct_topo_code,5669.5,526.0,9.28,2024
21150,21150,사상구,Sasang-gu,760.0,732.0,45.0,24.0,direct_topo_code,746.0,69.0,9.25,2024
11190,11190,영등포구,Yeongdeungpo-gu,2511.0,2518.0,160.0,72.0,direct_topo_code,2514.5,232.0,9.23,2024
35310,35510,완주군,Wanju-gun,500.0,454.0,37.0,7.0,name_prefix_boundary_code,477.0,44.0,9.22,2024
31191,31190+31191,용인시처인구,Yongin-si,5790.0,5471.0,374.0,144.0,aggregate_to_child_boundary_code+direct_topo_code,5630.5,518.0,9.2,2024
32060,32060,속초시,Sokcho-si,353.0,305.0,23.0,7.0,direct_topo_code,329.0,30.0,9.12,2024
22040,22040,남구,Nam-gu,545.0,555.0,42.0,8.0,direct_topo_code,550.0,50.0,9.09,2024
38060,38060,사천시,Sacheon-si,399.0,350.0,27.0,7.0,direct_topo_code,374.5,34.0,9.08,2024
