topo_code,kosis_region_code,region,region_eng,husband_total_marriages,wife_total_marriages,korean_husband_foreign_wife,korean_wife_foreign_husband,map_match_note,total_marriages_for_rate,international_marriages,international_marriage_share_pct,year
38112,38110+38112,창원시성산구,Changwon-si,4953.0,4627.0,290.0,88.0,aggregate_to_child_boundary_code+direct_topo_code,4790.0,378.0,7.89,2024
33044,33040+33044,청주시청원구,Cheongju-si,5038.0,4725.0,303.0,81.0,aggregate_to_child_boundary_code+direct_topo_code,4881.5,384.0,7.87,2024
11100,11100,도봉구,Dobong-gu,975.0,1124.0,57.0,25.0,direct_topo_code,1049.5,82.0,7.81,2024
22050,22050,북구,Buk-gu,1526.0,1574.0,103.0,18.0,direct_topo_code,1550.0,121.0,7.81,2024
31011,31010+31011,수원시장안구,Suwon-si,7692.0,7204.0,432.0,149.0,aggregate_to_child_boundary_code+direct_topo_code,7448.0,581.0,7.8,2024
34070,34070,계룡시,Gyeryong-si,191.0,169.0,13.0,1.0,direct_topo_code,180.0,14.0,7.78,2024
33041,33040+33041,청주시상당구,Cheongju-si,4858.0,4663.0,289.0,81.0,aggregate_to_child_boundary_code+direct_topo_code,4760.5,370.0,7.77,2024
31012,31010+31012,수원시권선구,Suwon-si,8424.0,7881.0,472.0,158.0,aggregate_to_child_boundary_code+direct_topo_code,8152.5,630.0,7.73,2024
22070,22070,달서구,Dalseo-gu,1939.0,2074.0,105.0,49.0,direct_topo_code,2006.5,154.0,7.68,2024
32020,32020,원주시,Wonju-si,1606.0,1549.0,103.0,18.0,direct_topo_code,1577.5,121.0,7.67,2024
33043,33040+33043,청주시흥덕구,Cheongju-si,5750.0,5422.0,339.0,88.0,aggregate_to_child_boundary_code+direct_topo_code,5586.0,427.0,7.64,2024
21120,21120,강서구,Gangseo-gu,652.0,526.0,39.0,6.0,direct_topo_code,589.0,45.0,7.64,2024
37011,37010+37011,포항시남구,Pohang-si,3210.0,2778.0,190.0,36.0,aggregate_to_child_boundary_code+direct_topo_code,2994.0,226.0,7.55,2024
36030,36030,순천시,Suncheon-si,1217.0,1194.0,79.0,12.0,direct_topo_code,1205.5,91.0,7.55,2024
31060,31060,광명시,Gwangmyeong-si,1259.0,1188.0,63.0,29.0,direct_topo_code,1223.5,92.0,7.52,2024
11200,11200,동작구,Dongjak-gu,1867.0,1919.0,91.0,50.0,direct_topo_code,1893.0,141.0,7.45,2024
26020,26020,남구,Nam-gu,1442.0,1325.0,90.0,13.0,direct_topo_code,1383.5,103.0,7.44,2024
11080,11080,성북구,Seongbuk-gu,1588.0,1638.0,77.0,42.0,direct_topo_code,1613.0,119.0,7.38,2024
11160,11160,강서구,Gangseo-gu,2850.0,3027.0,158.0,58.0,direct_topo_code,2938.5,216.0,7.35,2024
31170,31170,의왕시,Uiwang-si,605.0,574.0,35.0,8.0,direct_topo_code,589.5,43.0,7.29,2024
31110,31110,과천시,Gwacheon-si,465.0,421.0,20.0,12.0,direct_topo_code,443.0,32.0,7.22,2024
11250,11250,강동구,Gangdong-gu,2070.0,2199.0,105.0,49.0,direct_topo_code,2134.5,154.0,7.21,2024
31180,31180,하남시,Hanam-si,1507.0,1383.0,72.0,32.0,direct_topo_code,1445.0,104.0,7.2,2024
31014,31010+31014,수원시영통구,Suwon-si,8794.0,8144.0,456.0,150.0,aggregate_to_child_boundary_code+direct_topo_code,8469.0,606.0,7.16,2024
31041,31040+31041,안양시만안구,Anyang-si,3971.0,3810.0,215.0,63.0,aggregate_to_child_boundary_code+direct_topo_code,3890.5,278.0,7.15,2024
24030,24030,남구,Nam-gu,665.0,777.0,42.0,9.0,direct_topo_code,721.0,51.0,7.07,2024
11240,11240,송파구,Songpa-gu,3062.0,3225.0,128.0,93.0,direct_topo_code,3143.5,221.0,7.03,2024
35012,35010+35012,전주시덕진구,Jeonju-si,4054.0,3847.0,237.0,40.0,aggregate_to_child_boundary_code+direct_topo_code,3950.5,277.0,7.01,2024
31042,31040+31042,안양시동안구,Anyang-si,4591.0,4344.0,229.0,84.0,aggregate_to_child_boundary_code+direct_topo_code,4467.5,313.0,7.01,2024
35011,35010+35011,전주시완산구,Jeonju-si,3890.0,3878.0,228.0,41.0,aggregate_to_child_boundary_code+direct_topo_code,3884.0,269.0,6.93,2024
22060,22060,수성구,Suseong-gu,1169.0,1235.0,54.0,29.0,direct_topo_code,1202.0,83.0,6.91,2024
22020,22020,동구,Dong-gu,1583.0,1495.0,90.0,15.0,direct_topo_code,1539.0,105.0,6.82,2024
37012,37010+37012,포항시북구,Pohang-si,3393.0,3021.0,185.0,33.0,aggregate_to_child_boundary_code+direct_topo_code,3207.0,218.0,6.8,2024
