C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,trend_class
달서구,Dalseo-gu,21,2004,2024,601467,522021,-79446,-13.21,-3592.2,-0.359,0.636,27290,감소
마산회원구,Masanhoewon-gu,15,2010,2024,225182,178724,-46458,-20.63,-3647.7,-0.365,0.987,48127,감소
양천구,Yangcheon-gu,21,2004,2024,495098,430976,-64122,-12.95,-3734.2,-0.373,0.878,11470,감소
도봉구,Dobong-gu,21,2004,2024,381939,303228,-78711,-20.61,-4005.8,-0.401,0.962,11320,감소
사하구,Saha-gu,21,2004,2024,374248,292491,-81757,-21.85,-4113.7,-0.411,0.971,26380,감소
사상구,Sasang-gu,21,2004,2024,282097,198635,-83462,-29.59,-4131.5,-0.413,0.991,26530,감소
부천시,Bucheon-si,21,2004,2024,855697,769918,-85779,-10.02,-4208.7,-0.421,0.682,41190,감소
상당구,Sangdang-gu,21,2004,2024,255214,197952,-57262,-22.44,-4298.7,-0.43,0.635,43111,감소
서원구,Seowon-gu,11,2014,2024,224727,181621,-43106,-19.18,-4459.0,-0.446,0.979,43112,감소
부평구,Bupyeong-gu,21,2004,2024,557144,493200,-63944,-11.48,-4525.0,-0.452,0.809,28237,감소
안양시,Anyang-si,21,2004,2024,621047,556492,-64555,-10.39,-4531.9,-0.453,0.895,41170,감소
서구,Seo-gu,21,2004,2024,258098,163135,-94963,-36.79,-4955.4,-0.496,0.979,27170,감소
창원시,Changwon-si,15,2010,2024,1090181,999858,-90323,-8.29,-6640.9,-0.664,0.974,48120,급격한 감소
노원구,Nowon-gu,21,2004,2024,628184,491247,-136937,-21.8,-7245.1,-0.725,0.956,11350,급격한 감소
흥덕구,Heungdeok-gu,21,2004,2024,369074,285838,-83236,-22.55,-8365.0,-0.837,0.534,43113,급격한 감소
