C1_NM,C1_NM_ENG,n_years,start_year,end_year,start_population,end_population,absolute_change,change_pct,slope_people_per_year,slope_per_10k_people,r2,C1,age_group,age_group_label,trend_class,topo_code,topo_name,match_note
북구,Buk-gu,17.0,2008.0,2024.0,25143.0,62708.0,37565.0,149.41,2352.3,0.235,0.975,26320.0,older,65세 이상 고령층 인구,증가,21080,북구,province_exact_name
해운대구,Haeundae-gu,17.0,2008.0,2024.0,38023.0,83543.0,45520.0,119.72,2855.6,0.286,0.992,26350.0,older,65세 이상 고령층 인구,증가,21090,해운대구,global_exact_name
사하구,Saha-gu,17.0,2008.0,2024.0,31282.0,72601.0,41319.0,132.09,2626.1,0.263,0.985,26380.0,older,65세 이상 고령층 인구,증가,21100,사하구,global_exact_name
금정구,Geumjeong-gu,17.0,2008.0,2024.0,26438.0,56243.0,29805.0,112.74,1919.0,0.192,0.996,26410.0,older,65세 이상 고령층 인구,증가,21110,금정구,global_exact_name
강서구,Gangseo-gu,17.0,2008.0,2024.0,7970.0,21360.0,13390.0,168.01,848.2,0.085,0.958,26440.0,older,65세 이상 고령층 인구,완만한 증가,21120,강서구,province_exact_name
연제구,Yeonje-gu,17.0,2008.0,2024.0,21499.0,48982.0,27483.0,127.83,1705.2,0.171,0.986,26470.0,older,65세 이상 고령층 인구,증가,21130,연제구,global_exact_name
수영구,Suyeong-gu,17.0,2008.0,2024.0,19844.0,44086.0,24242.0,122.16,1531.1,0.153,0.997,26500.0,older,65세 이상 고령층 인구,증가,21140,수영구,global_exact_name
사상구,Sasang-gu,17.0,2008.0,2024.0,20227.0,48490.0,28263.0,139.73,1756.2,0.176,0.982,26530.0,older,65세 이상 고령층 인구,증가,21150,사상구,global_exact_name
기장군,Gijang-gun,17.0,2008.0,2024.0,10745.0,34328.0,23583.0,219.48,1504.6,0.15,0.994,26710.0,older,65세 이상 고령층 인구,증가,21310,기장군,global_exact_name
중구,Jung-gu,17.0,2008.0,2024.0,11722.0,17988.0,6266.0,53.46,338.2,0.034,0.933,27110.0,older,65세 이상 고령층 인구,완만한 증가,22010,중구,province_exact_name
동구,Dong-gu,17.0,2008.0,2024.0,37938.0,80902.0,42964.0,113.25,2662.0,0.266,0.993,27140.0,older,65세 이상 고령층 인구,증가,22020,동구,province_exact_name
