year,parental_leave_total_users,female_parental_leave_users,male_parental_leave_users,male_parental_leave_share_pct
2017,90122,78080,12042,13.36
2018,99199,81537,17662,17.8
2019,105165,82868,22297,21.2
2020,112038,84617,27421,24.47
2021,110555,81514,29041,26.27
2022,131084,93200,37884,28.9
2023,126008,90672,35336,28.04
2024,132535,90706,41829,31.56
2025,184329,117129,67200,36.46
