definition,count,definition_note,share_of_kosis_pct
KOSIS 미거주주택,1451554.0,조사시점에 사람이 살지 않는 주택,100.0
국토부 등 장기 빈집,132052.0,1년 이상 거주 또는 사용하지 않은 주택,9.1
