component,component_label,component_order,sex,population,population_10k,share_pct
계,생활인구 전체,0,남성,15566967.666666666,1556.6967666666667,55.25401774424215
계,생활인구 전체,0,여성,12606490.666666666,1260.6490666666666,44.74598225575785
외국인,외국인,3,남성,107914.33333333333,10.791433333333332,62.70346382391906
외국인,외국인,3,여성,64188.333333333336,6.418833333333334,37.29653617608095
주민등록인구,주민등록인구,1,남성,2353125.3333333335,235.31253333333336,50.208251082791136
주민등록인구,주민등록인구,1,여성,2333605.0,233.3605,49.79174891720888
체류인구,체류인구,2,남성,13105928.0,1310.5928,56.21333310152843
체류인구,체류인구,2,여성,10208697.333333334,1020.8697333333334,43.78666689847157
