year,maternity_leave_users,maternity_leave_amount_million_krw,maternity_leave_per_user_million_krw
2017,81083,242577,2.99
2018,76394,248402,3.25
2019,73279,268479,3.66
2020,70933,285736,4.03
2021,70275,289311,4.12
2022,72619,302785,4.17
2023,72204,321351,4.45
2024,76668,348201,4.54
2025,89574,410060,4.58
