year,type_code,type,childcare_facilities
2022,07,협동,132.0
2022,08,직장,1291.0
2023,02,국·공립,6187.0
2023,03,사회복지법인,1206.0
2023,04,법인·단체 등,551.0
2023,05,민간,8886.0
2023,06,가정,10692.0
2023,07,협동,124.0
2023,08,직장,1308.0
2024,02,국·공립,6521.0
2024,03,사회복지법인,1171.0
2024,04,법인·단체 등,507.0
2024,05,민간,8181.0
2024,06,가정,9586.0
2024,07,협동,116.0
2024,08,직장,1305.0
