year,working_age_population_index,economically_active_population_index,employed_population_index
2000,100.0,100.0,100.0
2001,97.58810964756141,98.70056497175142,98.93464454005326
2002,95.00711997152011,97.58945386064029,98.79123130506044
2003,92.66642933428267,95.04708097928437,95.14443761524278
2004,90.44143823424706,94.59510357815442,94.44785904527761
2005,88.65254538981844,91.80790960451978,91.88690842040566
2006,88.06514773940904,88.56873822975518,88.73181725056341
2007,87.92274830900676,86.59133709981167,87.40012292563
2008,87.8248487006052,83.91713747645952,84.77770948576111
2009,87.47775008899964,81.73258003766477,81.78651915591068
2010,86.64115343538626,80.3954802259887,80.51628764597419
2011,85.97365610537557,79.6421845574388,80.04507273099775
2012,84.82556069775721,78.15442561205273,78.61094038106945
2013,84.00676397294411,76.32768361581921,76.37779143618111
2014,83.61516553933784,78.7005649717514,77.89387420610531
2015,83.4816660733357,80.09416195856875,79.1641057160418
2016,83.33036667853328,81.6195856873823,80.06556033599672
2017,82.60946956212175,81.60075329566855,80.04507273099775
2018,81.4257742969028,81.20527306967985,79.98360991600082
2019,80.63367746529015,81.56308851224105,80.82360172095882
2020,79.30758276966891,77.83427495291903,77.09485761114526
2021,78.05268778924884,79.15254237288136,79.43044458102848
2022,76.24599501601995,80.3954802259887,81.86846957590657
2023,74.67070131719473,78.00376647834275,79.88117189100595
2024,72.55250978996084,75.14124293785311,76.93095677115345
2025,70.7814168743325,71.73258003766479,73.30465068633477
200001,100.9878960484158,102.71186440677967,99.40585945502971
200002,100.78319686721254,101.99623352165726,99.77463634501127
200003,100.57849768600926,99.26553672316383,98.11514034009424
200004,100.4004983980064,98.92655367231639,98.7297684900635
200005,100.28479886080454,99.35969868173258,100.04097520999795
200006,100.13349946600214,98.54990583804143,99.61073550501946
200007,99.86650053399786,102.39171374764595,103.05265314484737
200008,99.73300106799573,100.01883239171374,100.71706617496415
200009,99.58170167319331,98.43691148775895,99.48780987502562
200010,99.39480242079031,98.87005649717514,100.32780167998361
200011,99.19010323958705,99.34086629001884,100.63511575496824
200012,99.02990388038447,100.18832391713748,100.04097520999795
200101,98.81630473478106,100.8286252354049,99.71317353001434
200102,98.56710573157707,99.43502824858757,97.56197500512191
200103,98.32680669277323,98.53107344632768,96.96783446015161
200104,98.0687077251691,98.90772128060263,99.16000819504201
200105,97.85510857956568,98.8135593220339,99.61073550501946
200106,97.66820932716269,98.71939736346516,99.54927269002253
200107,97.50800996796013,101.09227871939737,102.08973570989552
200108,97.312210751157,97.83427495291902,98.97561975005121
200109,97.06301174795301,96.64783427495291,98.05367752509731
200110,96.84051263794944,96.49717514124293,97.84880147510756
200111,96.63581345674618,98.13559322033898,98.89366933005532
200112,96.40441438234248,99.00188323917138,98.7297684900635
200201,96.22641509433963,101.11111111111111,100.18438844499077
200202,96.02171591313635,100.07532956685499,99.7541487400123
200203,95.7814168743325,97.70244821092278,97.97172710510141
200204,95.54111783552865,98.51224105461394,99.61073550501946
200205,95.29191883232467,98.06026365348399,99.81561155500923
200206,95.06941972232111,96.98681732580037,98.89366933005532
200207,94.87362050551798,99.71751412429379,101.18828108994057
200208,94.66892132431471,96.7984934086629,98.50440483507478
200209,94.44642221431114,94.87758945386065,97.21368572013932
200210,94.28622285510858,94.93408662900188,96.8858840401557
200211,94.03702385190459,95.59322033898306,97.54148740012293
200212,93.84122463510145,96.72316384180792,97.82831387010859
200301,93.68992524029905,97.36346516007532,96.68100799016595
200302,93.50302598789605,96.94915254237289,95.9639418152018
200303,93.31612673549306,94.76459510357816,94.40688383527966
200304,93.15592737629049,94.16195856873823,94.65273509526736
200305,93.00462798148807,94.16195856873823,94.71419791026429
200306,92.78212887148452,94.53860640301318,94.98053677525097
200307,92.62192951228195,98.24858757062147,98.44294202007785
200308,92.3994304022784,94.83992467043313,95.53370211022332
200309,92.18583125667497,92.22222222222223,93.3620159803319
200310,91.99893200427198,93.10734463276836,93.75128047531244
200311,91.77643289426842,94.01129943502825,93.91518131530424
200312,91.58953364186543,96.21468926553672,95.36980127023152
200401,91.4560341758633,97.34463276836158,96.06637984019667
200402,91.25133499466001,96.19585687382298,94.77566072526122
200403,91.04663581345675,94.61393596986817,93.56689203032165
200404,90.83303666785334,94.030131826742,94.05859455029707
200405,90.61943752224991,94.89642184557438,94.85761114525711
200406,90.44143823424706,94.67043314500941,94.75517312026224
200407,90.32573869704521,97.08097928436912,97.27514853513625
200408,90.18333926664293,92.03389830508475,92.50153657037492
200409,90.03203987184051,93.14500941619586,94.24298299528785
200410,89.88074047703809,93.42749529190208,93.97664413030117
200411,89.70274118903524,93.37099811676083,93.83323089530833
200412,89.50694197223211,94.23728813559322,93.44396640032781
200501,89.32894268422926,94.80225988700565,93.58737963532063
200502,89.20434318262727,93.99246704331449,93.01372669534932
200503,89.0441438234247,92.74952919020716,92.05080926039746
200504,88.88394446422214,92.09039548022598,92.03032165539848
200505,88.72374510501957,92.18455743879473,92.87031346035648
200506,88.59024563901744,92.1280602636535,92.48104896537595
200507,88.47454610181559,95.02824858757062,94.83712354025813
200508,88.4122463510146,90.54613935969869,91.21081745543947
200509,88.36774652901389,89.03954802259886,89.96107355050195
200510,88.31434674261303,89.73634651600754,90.59618930547019
200511,88.26984692061231,89.35969868173258,90.12497439049375
200512,88.17194731221075,89.90583804143127,89.96107355050195
200601,88.21644713421146,91.54425612052731,91.55910674042205
200602,88.1630473478106,89.86817325800376,89.1620569555419
200603,88.08294766820933,88.71939736346516,88.26060233558697
200604,88.06514773940904,88.49340866290018,88.60889162056955
200605,88.0562477750089,88.47457627118645,89.30547019053473
200606,88.0562477750089,88.56873822975518,88.69084204056546
200607,88.0562477750089,91.5065913370998,91.47715632042615
200608,88.08294766820933,87.75894538606404,88.4040155705798
200609,88.04734781060876,86.51600753295668,87.21573448063921
200610,88.04734781060876,86.66666666666667,86.64208154066789
200611,87.97614809540761,87.02448210922788,87.50256095062487
200612,87.9316482734069,87.74011299435028,87.91231305060438
200701,87.97614809540761,89.32203389830508,89.89961073550502
200702,87.9316482734069,87.87193973634652,88.11718910059415
200703,87.89604841580633,85.70621468926554,86.31427986068428
200704,87.8693485226059,86.4406779661017,86.8879328006556
200705,87.89604841580633,86.81732580037664,87.87133784060643
200706,87.94054823780705,86.81732580037664,87.66646179061668
200707,87.9316482734069,89.69868173258003,90.18643720549068
200708,87.92274830900676,86.21468926553672,87.46158574062693
200709,87.91384834460662,84.3879472693032,85.37185003073141
200710,87.9494482022072,85.02824858757062,86.49866830567507
200711,87.9316482734069,86.10169491525423,87.07232124564639
200712,87.91384834460662,84.7834274952919,85.57672608072117
200801,87.95834816660734,86.59133709981167,87.52304855562384
200802,87.9316482734069,84.68926553672317,85.33087482073346
