topo_code,topo_name,C1,C1_NM,kosis_prefix,sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k,has_living_population
25030,서구,30170,서구,30,,,,,,,,,,,,,,,False
25040,유성구,30200,유성구,30,,,,,,,,,,,,,,,False
25050,대덕구,30230,대덕구,30,,,,,,,,,,,,,,,False
26010,중구,31110,중구,31,,,,,,,,,,,,,,,False
26020,남구,31140,남구,31,,,,,,,,,,,,,,,False
26030,동구,31170,동구,31,,,,,,,,,,,,,,,False
26040,북구,31200,북구,31,,,,,,,,,,,,,,,False
26310,울주군,31710,울주군,31,,,,,,,,,,,,,,,False
29010,세종시,36110,세종시,36,,,,,,,,,,,,,,,False
31011,수원시장안구,41111,장안구,41,,,,,,,,,,,,,,,False
31012,수원시권선구,41113,권선구,41,,,,,,,,,,,,,,,False
31013,수원시팔달구,41115,팔달구,41,,,,,,,,,,,,,,,False
31014,수원시영통구,41117,영통구,41,,,,,,,,,,,,,,,False
31021,성남시수정구,41131,수정구,41,,,,,,,,,,,,,,,False
31022,성남시중원구,41133,중원구,41,,,,,,,,,,,,,,,False
31023,성남시분당구,41135,분당구,41,,,,,,,,,,,,,,,False
31030,의정부시,41150,의정부시,41,,,,,,,,,,,,,,,False
31041,안양시만안구,41171,만안구,41,,,,,,,,,,,,,,,False
31042,안양시동안구,41173,동안구,41,,,,,,,,,,,,,,,False
31050,부천시,41190,부천시,41,,,,,,,,,,,,,,,False
31060,광명시,41210,광명시,41,,,,,,,,,,,,,,,False
31070,평택시,41220,평택시,41,,,,,,,,,,,,,,,False
31080,동두천시,41250,동두천시,41,,,,,,,,,,,,,,,False
31091,안산시상록구,41271,상록구,41,,,,,,,,,,,,,,,False
31092,안산시단원구,41273,단원구,41,,,,,,,,,,,,,,,False
31101,고양시덕양구,41281,덕양구,41,,,,,,,,,,,,,,,False
31103,고양시일산동구,41285,일산동구,41,,,,,,,,,,,,,,,False
31104,고양시일산서구,41287,일산서구,41,,,,,,,,,,,,,,,False
31110,과천시,41290,과천시,41,,,,,,,,,,,,,,,False
31120,구리시,41310,구리시,41,,,,,,,,,,,,,,,False
31130,남양주시,41360,남양주시,41,,,,,,,,,,,,,,,False
31140,오산시,41370,오산시,41,,,,,,,,,,,,,,,False
31150,시흥시,41390,시흥시,41,,,,,,,,,,,,,,,False
31160,군포시,41410,군포시,41,,,,,,,,,,,,,,,False
31170,의왕시,41430,의왕시,41,,,,,,,,,,,,,,,False
31180,하남시,41450,하남시,41,,,,,,,,,,,,,,,False
31191,용인시처인구,41461,처인구,41,,,,,,,,,,,,,,,False
31192,용인시기흥구,41463,기흥구,41,,,,,,,,,,,,,,,False
31193,용인시수지구,41465,수지구,41,,,,,,,,,,,,,,,False
31200,파주시,41480,파주시,41,,,,,,,,,,,,,,,False
31210,이천시,41500,이천시,41,,,,,,,,,,,,,,,False
31220,안성시,41550,안성시,41,,,,,,,,,,,,,,,False
31230,김포시,41570,김포시,41,,,,,,,,,,,,,,,False
31240,화성시,41590,화성시,41,,,,,,,,,,,,,,,False
31250,광주시,41610,광주시,41,,,,,,,,,,,,,,,False
31260,양주시,41630,양주시,41,,,,,,,,,,,,,,,False
31270,포천시,41650,포천시,41,,,,,,,,,,,,,,,False
31280,여주시,41670,여주시,41,,,,,,,,,,,,,,,False
31350,연천군,41800,연천군,41,경기도,연천군,247372.66666666666,41024.666666666664,204706.33333333334,1641.6666666666667,경기도 연천군,6.029851958984026,82.75220382742367,0.6636410921174262,24.737266666666667,4.1024666666666665,20.470633333333335,0.16416666666666668,True
31370,가평군,41820,가평군,41,경기도,가평군,1024525.6666666666,62245.0,960559.3333333334,1721.3333333333333,경기도 가평군,16.459565694701045,93.75649284205342,0.16801270962139553,102.45256666666667,6.2245,96.05593333333334,0.17213333333333333,True
31380,양평군,41830,양평군,41,,,,,,,,,,,,,,,False
32010,춘천시,51110,춘천시,51,,,,,,,,,,,,,,,False
32020,원주시,51130,원주시,51,,,,,,,,,,,,,,,False
32030,강릉시,51150,강릉시,51,,,,,,,,,,,,,,,False
32040,동해시,51170,동해시,51,,,,,,,,,,,,,,,False
32050,태백시,51190,태백시,51,강원특별자치도,태백시,186794.0,37437.0,148656.0,701.0,강원특별자치도 태백시,4.989555787055587,79.5828559803848,0.3752797199053503,18.6794,3.7437,14.8656,0.0701,True
32060,속초시,51210,속초시,51,,,,,,,,,,,,,,,False
32070,삼척시,51230,삼척시,51,강원특별자치도,삼척시,462797.0,61002.0,400739.0,1056.0,강원특별자치도 삼척시,7.586587325005738,86.59066502159695,0.2281777971767319,46.2797,6.1002,40.0739,0.1056,True
32310,홍천군,51720,홍천군,51,강원특별자치도,홍천군,703696.3333333334,66353.0,634659.3333333334,2684.0,강원특별자치도 홍천군,10.605343139471213,90.18937619399277,0.3814145211310371,70.36963333333334,6.6353,63.46593333333334,0.2684,True
32320,횡성군,51730,횡성군,51,강원특별자치도,횡성군,407161.0,45803.666666666664,358736.3333333333,2621.0,강원특별자치도 횡성군,8.889266507048198,88.10675220203638,0.6437257006442169,40.7161,4.5803666666666665,35.87363333333333,0.2621,True
32330,영월군,51750,영월군,51,강원특별자치도,영월군,299818.3333333333,36313.0,262721.0,784.3333333333334,강원특별자치도 영월군,8.256501344789285,87.6267295195424,0.26160285950936957,29.98183333333333,3.6313,26.2721,0.07843333333333334,True
