year,C1,C1_NM,C1_NM_ENG,total_population,child_population,working_age_population,older_population,older_share,working_age_share,child_share
2008,11110,종로구,Jongno-gu,170705,22816,127968,19921,11.67,74.96,13.37
2009,11110,종로구,Jongno-gu,168603,21413,126645,20545,12.19,75.11,12.7
2010,11110,종로구,Jongno-gu,170578,20178,128089,22311,13.08,75.09,11.83
2011,11110,종로구,Jongno-gu,168382,19227,126355,22800,13.54,75.04,11.42
2012,11110,종로구,Jongno-gu,165207,18110,123367,23730,14.36,74.67,10.96
2013,11110,종로구,Jongno-gu,160070,16985,119232,23853,14.9,74.49,10.61
2014,11110,종로구,Jongno-gu,156993,15953,116664,24376,15.53,74.31,10.16
2015,11110,종로구,Jongno-gu,154986,15168,115066,24752,15.97,74.24,9.79
2016,11110,종로구,Jongno-gu,152737,14494,113293,24950,16.34,74.18,9.49
2017,11110,종로구,Jongno-gu,154770,14416,114324,26030,16.82,73.87,9.31
2018,11110,종로구,Jongno-gu,153065,13904,112589,26572,17.36,73.56,9.08
2019,11110,종로구,Jongno-gu,151290,13364,110608,27318,18.06,73.11,8.83
2020,11110,종로구,Jongno-gu,149384,12679,108394,28311,18.95,72.56,8.49
2021,11110,종로구,Jongno-gu,144683,11918,105156,27609,19.08,72.68,8.24
2022,11110,종로구,Jongno-gu,141379,11121,102554,27704,19.6,72.54,7.87
2023,11110,종로구,Jongno-gu,139417,10459,100458,28500,20.44,72.06,7.5
2024,11110,종로구,Jongno-gu,138336,9931,98831,29574,21.38,71.44,7.18
2008,11140,중구,Jung-gu,130362,16839,98396,15127,11.6,75.48,12.92
2009,11140,중구,Jung-gu,129465,15817,97888,15760,12.17,75.61,12.22
2010,11140,중구,Jung-gu,132822,15235,100272,17315,13.04,75.49,11.47
2011,11140,중구,Jung-gu,133193,14715,100550,17928,13.46,75.49,11.05
2012,11140,중구,Jung-gu,133360,14344,100326,18690,14.01,75.23,10.76
2013,11140,중구,Jung-gu,130465,13430,97883,19152,14.68,75.03,10.29
2014,11140,중구,Jung-gu,128065,12604,95721,19740,15.41,74.74,9.84
2015,11140,중구,Jung-gu,125733,11817,93835,20081,15.97,74.63,9.4
2016,11140,중구,Jung-gu,125249,11527,93334,20388,16.28,74.52,9.2
2017,11140,중구,Jung-gu,125709,11306,93255,21148,16.82,74.18,8.99
2018,11140,중구,Jung-gu,125725,10879,93096,21750,17.3,74.05,8.65
2019,11140,중구,Jung-gu,126171,10543,92654,22974,18.21,73.44,8.36
2020,11140,중구,Jung-gu,125240,9928,91138,24174,19.3,72.77,7.93
2021,11140,중구,Jung-gu,122499,9352,89110,24037,19.62,72.74,7.63
2022,11140,중구,Jung-gu,120437,8901,86876,24660,20.48,72.13,7.39
2023,11140,중구,Jung-gu,121312,8528,87259,25525,21.04,71.93,7.03
2024,11140,중구,Jung-gu,120544,8119,86017,26408,21.91,71.36,6.74
2008,11170,용산구,Yongsan-gu,238224,33041,178333,26850,11.27,74.86,13.87
2009,11170,용산구,Yongsan-gu,238708,31855,178965,27888,11.68,74.97,13.34
2010,11170,용산구,Yongsan-gu,244853,30685,183398,30770,12.57,74.9,12.53
2011,11170,용산구,Yongsan-gu,246501,30428,184450,31623,12.83,74.83,12.34
2012,11170,용산구,Yongsan-gu,243232,29337,181109,32786,13.48,74.46,12.06
2013,11170,용산구,Yongsan-gu,239740,28179,177786,33775,14.09,74.16,11.75
2014,11170,용산구,Yongsan-gu,235951,26599,174781,34571,14.65,74.08,11.27
2015,11170,용산구,Yongsan-gu,233342,25515,172475,35352,15.15,73.92,10.93
2016,11170,용산구,Yongsan-gu,230241,24369,170325,35547,15.44,73.98,10.58
2017,11170,용산구,Yongsan-gu,229161,23174,169499,36488,15.92,73.97,10.11
2018,11170,용산구,Yongsan-gu,228999,22238,169549,37212,16.25,74.04,9.71
2019,11170,용산구,Yongsan-gu,228670,21439,168885,38346,16.77,73.86,9.38
2020,11170,용산구,Yongsan-gu,230040,20688,169573,39779,17.29,73.71,8.99
2021,11170,용산구,Yongsan-gu,222953,19604,164797,38552,17.29,73.92,8.79
2022,11170,용산구,Yongsan-gu,218650,18677,161495,38478,17.6,73.86,8.54
2023,11170,용산구,Yongsan-gu,213151,17483,156429,39239,18.41,73.39,8.2
2024,11170,용산구,Yongsan-gu,203854,16404,148556,38894,19.08,72.87,8.05
2008,11200,성동구,Seongdong-gu,314212,47339,237591,29282,9.32,75.61,15.07
2009,11200,성동구,Seongdong-gu,308058,44436,233489,30133,9.78,75.79,14.42
2010,11200,성동구,Seongdong-gu,309093,42063,235041,31989,10.35,76.04,13.61
2011,11200,성동구,Seongdong-gu,300711,39327,228725,32659,10.86,76.06,13.08
2012,11200,성동구,Seongdong-gu,299604,37996,227552,34056,11.37,75.95,12.68
2013,11200,성동구,Seongdong-gu,299337,36902,227139,35296,11.79,75.88,12.33
2014,11200,성동구,Seongdong-gu,296086,35256,224266,36564,12.35,75.74,11.91
2015,11200,성동구,Seongdong-gu,297003,34327,224651,38025,12.8,75.64,11.56
2016,11200,성동구,Seongdong-gu,299259,33892,226227,39140,13.08,75.6,11.33
2017,11200,성동구,Seongdong-gu,304808,33732,229924,41152,13.5,75.43,11.07
2018,11200,성동구,Seongdong-gu,308221,33238,232354,42629,13.83,75.39,10.78
2019,11200,성동구,Seongdong-gu,300889,31559,225534,43796,14.56,74.96,10.49
2020,11200,성동구,Seongdong-gu,293556,29566,218555,45435,15.48,74.45,10.07
2021,11200,성동구,Seongdong-gu,285990,28220,211569,46201,16.15,73.98,9.87
2022,11200,성동구,Seongdong-gu,281000,26903,206567,47530,16.91,73.51,9.57
2023,11200,성동구,Seongdong-gu,277361,25233,202868,49260,17.76,73.14,9.1
2024,11200,성동구,Seongdong-gu,273669,24211,198428,51030,18.65,72.51,8.85
2008,11215,광진구,Gwangjin-gu,375482,56241,290881,28360,7.55,77.47,14.98
2009,11215,광진구,Gwangjin-gu,373998,53115,290904,29979,8.02,77.78,14.2
2010,11215,광진구,Gwangjin-gu,375463,50148,293281,32034,8.53,78.11,13.36
2011,11215,광진구,Gwangjin-gu,371936,47706,290812,33418,8.98,78.19,12.83
2012,11215,광진구,Gwangjin-gu,371313,46055,289719,35539,9.57,78.03,12.4
2013,11215,광진구,Gwangjin-gu,368927,43980,287534,37413,10.14,77.94,11.92
2014,11215,광진구,Gwangjin-gu,363354,41863,282683,38808,10.68,77.8,11.52
2015,11215,광진구,Gwangjin-gu,360369,39956,280208,40205,11.16,77.76,11.09
2016,11215,광진구,Gwangjin-gu,357215,38537,277386,41292,11.56,77.65,10.79
2017,11215,광진구,Gwangjin-gu,357703,37469,276444,43790,12.24,77.28,10.47
2018,11215,광진구,Gwangjin-gu,355559,36007,274120,45432,12.78,77.1,10.13
2019,11215,광진구,Gwangjin-gu,351350,33983,269686,47681,13.57,76.76,9.67
2020,11215,광진구,Gwangjin-gu,346682,31809,264562,50311,14.51,76.31,9.18
2021,11215,광진구,Gwangjin-gu,339996,29611,258935,51450,15.13,76.16,8.71
2022,11215,광진구,Gwangjin-gu,337416,27958,255721,53737,15.93,75.79,8.29
2023,11215,광진구,Gwangjin-gu,335554,26461,252632,56461,16.83,75.29,7.89
2024,11215,광진구,Gwangjin-gu,331963,25013,247616,59334,17.87,74.59,7.53
2008,11230,동대문구,Dongdaemun-gu,370250,51811,280167,38272,10.34,75.67,13.99
2009,11230,동대문구,Dongdaemun-gu,362146,48616,274064,39466,10.9,75.68,13.42
2010,11230,동대문구,Dongdaemun-gu,366786,46546,277716,42524,11.59,75.72,12.69
2011,11230,동대문구,Dongdaemun-gu,365486,45042,276215,44229,12.1,75.57,12.32
2012,11230,동대문구,Dongdaemun-gu,363258,43450,273183,46625,12.84,75.2,11.96
2013,11230,동대문구,Dongdaemun-gu,364273,42323,273039,48911,13.43,74.95,11.62
2014,11230,동대문구,Dongdaemun-gu,363687,41201,271730,50756,13.96,74.72,11.33
2015,11230,동대문구,Dongdaemun-gu,360153,39121,268701,52331,14.53,74.61,10.86
2016,11230,동대문구,Dongdaemun-gu,355069,37304,264464,53301,15.01,74.48,10.51
2017,11230,동대문구,Dongdaemun-gu,350647,35637,259463,55547,15.84,74.0,10.16
2018,11230,동대문구,Dongdaemun-gu,348052,34439,256622,56991,16.37,73.73,9.89
2019,11230,동대문구,Dongdaemun-gu,346194,33326,253698,59170,17.09,73.28,9.63
2020,11230,동대문구,Dongdaemun-gu,342837,31846,249379,61612,17.97,72.74,9.29
2021,11230,동대문구,Dongdaemun-gu,337400,30495,244896,62009,18.38,72.58,9.04
2022,11230,동대문구,Dongdaemun-gu,336644,29476,242913,64255,19.09,72.16,8.76
2023,11230,동대문구,Dongdaemun-gu,341149,29103,245256,66790,19.58,71.89,8.53
2024,11230,동대문구,Dongdaemun-gu,338735,27853,241568,69314,20.46,71.31,8.22
2008,11260,중랑구,Jungnang-gu,427871,62912,327927,37032,8.65,76.64,14.7
2009,11260,중랑구,Jungnang-gu,424761,59205,326503,39053,9.19,76.87,13.94
2010,11260,중랑구,Jungnang-gu,427455,56113,329539,41803,9.78,77.09,13.13
2011,11260,중랑구,Jungnang-gu,423706,53222,326808,43676,10.31,77.13,12.56
2012,11260,중랑구,Jungnang-gu,419295,50427,322466,46402,11.07,76.91,12.03
2013,11260,중랑구,Jungnang-gu,416798,48381,319480,48937,11.74,76.65,11.61
2014,11260,중랑구,Jungnang-gu,418836,47297,319620,51919,12.4,76.31,11.29
2015,11260,중랑구,Jungnang-gu,413909,44902,314986,54021,13.05,76.1,10.85
2016,11260,중랑구,Jungnang-gu,411005,43137,312026,55842,13.59,75.92,10.5
2017,11260,중랑구,Jungnang-gu,408226,41660,307377,59189,14.5,75.3,10.21
2018,11260,중랑구,Jungnang-gu,403209,39355,302106,61748,15.31,74.93,9.76
2019,11260,중랑구,Jungnang-gu,397015,37243,294707,65065,16.39,74.23,9.38
2020,11260,중랑구,Jungnang-gu,394702,35444,289917,69341,17.57,73.45,8.98
2021,11260,중랑구,Jungnang-gu,387350,33325,282465,71560,18.47,72.92,8.6
2022,11260,중랑구,Jungnang-gu,385318,32188,278340,74790,19.41,72.24,8.35
2023,11260,중랑구,Jungnang-gu,382155,30655,272709,78791,20.62,71.36,8.02
2024,11260,중랑구,Jungnang-gu,379274,29052,266923,83299,21.96,70.38,7.66
2008,11290,성북구,Seongbuk-gu,473357,72326,353972,47059,9.94,74.78,15.28
2009,11290,성북구,Seongbuk-gu,476028,70588,356201,49239,10.34,74.83,14.83
2010,11290,성북구,Seongbuk-gu,488932,69804,366015,53113,10.86,74.86,14.28
2011,11290,성북구,Seongbuk-gu,485171,67662,362426,55083,11.35,74.7,13.95
2012,11290,성북구,Seongbuk-gu,481857,65327,358530,58000,12.04,74.41,13.56
2013,11290,성북구,Seongbuk-gu,476589,62968,353268,60353,12.66,74.12,13.21
2014,11290,성북구,Seongbuk-gu,466706,59662,345115,61929,13.27,73.95,12.78
2015,11290,성북구,Seongbuk-gu,459275,57147,338996,63132,13.75,73.81,12.44
2016,11290,성북구,Seongbuk-gu,450355,54378,332099,63878,14.18,73.74,12.07
2017,11290,성북구,Seongbuk-gu,444055,52354,325580,66121,14.89,73.32,11.79
2018,11290,성북구,Seongbuk-gu,435868,49379,318843,67646,15.52,73.15,11.33
2019,11290,성북구,Seongbuk-gu,442650,48562,323389,70699,15.97,73.06,10.97
2020,11290,성북구,Seongbuk-gu,437153,46162,317378,73613,16.84,72.6,10.56
2021,11290,성북구,Seongbuk-gu,430528,44582,311401,74545,17.31,72.33,10.36
2022,11290,성북구,Seongbuk-gu,430397,42920,310184,77293,17.96,72.07,9.97
2023,11290,성북구,Seongbuk-gu,425602,40594,304776,80232,18.85,71.61,9.54
2024,11290,성북구,Seongbuk-gu,421560,38623,299584,83353,19.77,71.07,9.16
2008,11305,강북구,Gangbuk-gu,342274,48700,257041,36533,10.67,75.1,14.23
2009,11305,강북구,Gangbuk-gu,340367,46178,255528,38661,11.36,75.07,13.57
2010,11305,강북구,Gangbuk-gu,346520,44640,260239,41641,12.02,75.1,12.88
2011,11305,강북구,Gangbuk-gu,345054,43005,258596,43453,12.59,74.94,12.46
2012,11305,강북구,Gangbuk-gu,343157,41533,255477,46147,13.45,74.45,12.1
2013,11305,강북구,Gangbuk-gu,338707,39460,250782,48465,14.31,74.04,11.65
2014,11305,강북구,Gangbuk-gu,335025,37464,246806,50755,15.15,73.67,11.18
2015,11305,강북구,Gangbuk-gu,330873,35134,243236,52503,15.87,73.51,10.62
2016,11305,강북구,Gangbuk-gu,327195,33278,239953,53964,16.49,73.34,10.17
2017,11305,강북구,Gangbuk-gu,324479,31728,236314,56437,17.39,72.83,9.78
2018,11305,강북구,Gangbuk-gu,319164,29644,231417,58103,18.2,72.51,9.29
2019,11305,강북구,Gangbuk-gu,313954,27714,225766,60474,19.26,71.91,8.83
2020,11305,강북구,Gangbuk-gu,308055,25762,218980,63313,20.55,71.08,8.36
2021,11305,강북구,Gangbuk-gu,299182,23870,211094,64218,21.46,70.56,7.98
2022,11305,강북구,Gangbuk-gu,293660,22123,205367,66170,22.53,69.93,7.53
2023,11305,강북구,Gangbuk-gu,288113,20587,199053,68473,23.77,69.09,7.15
2024,11305,강북구,Gangbuk-gu,283597,19127,193243,71227,25.12,68.14,6.74
2008,11320,도봉구,Dobong-gu,373936,58270,280992,34674,9.27,75.14,15.58
2009,11320,도봉구,Dobong-gu,369733,55147,278402,36184,9.79,75.3,14.92
2010,11320,도봉구,Dobong-gu,368298,52062,278051,38185,10.37,75.5,14.14
2011,11320,도봉구,Dobong-gu,365573,49709,276083,39781,10.88,75.52,13.6
2012,11320,도봉구,Dobong-gu,362270,47265,272775,42230,11.66,75.3,13.05
2013,11320,도봉구,Dobong-gu,358582,44915,269233,44434,12.39,75.08,12.53
2014,11320,도봉구,Dobong-gu,353709,42590,264681,46438,13.13,74.83,12.04
2015,11320,도봉구,Dobong-gu,351242,40601,262088,48553,13.82,74.62,11.56
2016,11320,도봉구,Dobong-gu,348220,38795,258959,50466,14.49,74.37,11.14
2017,11320,도봉구,Dobong-gu,344166,36873,253848,53445,15.53,73.76,10.71
2018,11320,도봉구,Dobong-gu,339413,34863,248624,55926,16.48,73.25,10.27
2019,11320,도봉구,Dobong-gu,333362,32614,242084,58664,17.6,72.62,9.78
2020,11320,도봉구,Dobong-gu,325257,30478,232770,62009,19.06,71.56,9.37
2021,11320,도봉구,Dobong-gu,317366,28488,224764,64114,20.2,70.82,8.98
2022,11320,도봉구,Dobong-gu,311694,26616,218136,66942,21.48,69.98,8.54
2023,11320,도봉구,Dobong-gu,306948,24811,211763,70374,22.93,68.99,8.08
2024,11320,도봉구,Dobong-gu,303228,23215,205864,74149,24.45,67.89,7.66
2008,11350,노원구,Nowon-gu,615981,107886,455275,52820,8.57,73.91,17.51
2009,11350,노원구,Nowon-gu,610616,102717,453252,54647,8.95,74.23,16.82
2010,11350,노원구,Nowon-gu,611230,97860,456393,56977,9.32,74.67,16.01
2011,11350,노원구,Nowon-gu,603930,92975,452371,58584,9.7,74.9,15.39
2012,11350,노원구,Nowon-gu,597189,88741,447298,61150,10.24,74.9,14.86
2013,11350,노원구,Nowon-gu,590479,84290,442458,63731,10.79,74.93,14.27
2014,11350,노원구,Nowon-gu,582552,80147,435994,66411,11.4,74.84,13.76
2015,11350,노원구,Nowon-gu,574583,75672,430068,68843,11.98,74.85,13.17
2016,11350,노원구,Nowon-gu,567581,72159,424603,70819,12.48,74.81,12.71
2017,11350,노원구,Nowon-gu,554403,68323,411902,74178,13.38,74.3,12.32
2018,11350,노원구,Nowon-gu,543752,64067,402653,77032,14.17,74.05,11.78
2019,11350,노원구,Nowon-gu,532905,60377,391674,80854,15.17,73.5,11.33
2020,11350,노원구,Nowon-gu,523037,57456,380161,85420,16.33,72.68,10.99
2021,11350,노원구,Nowon-gu,510956,54122,368563,88271,17.28,72.13,10.59
2022,11350,노원구,Nowon-gu,503734,50770,361018,91946,18.25,71.67,10.08
2023,11350,노원구,Nowon-gu,498213,47852,354052,96309,19.33,71.06,9.6
2024,11350,노원구,Nowon-gu,491247,45350,345430,100467,20.45,70.32,9.23
2008,11380,은평구,Eunpyeong-gu,458401,70740,341825,45836,10.0,74.57,15.43
2009,11380,은평구,Eunpyeong-gu,465895,69267,347809,48819,10.48,74.65,14.87
2010,11380,은평구,Eunpyeong-gu,488109,69906,364553,53650,10.99,74.69,14.32
2011,11380,은평구,Eunpyeong-gu,493634,68737,368412,56485,11.44,74.63,13.92
2012,11380,은평구,Eunpyeong-gu,501480,68445,372386,60649,12.09,74.26,13.65
2013,11380,은평구,Eunpyeong-gu,503660,66613,372859,64188,12.74,74.03,13.23
2014,11380,은평구,Eunpyeong-gu,498644,63250,368530,66864,13.41,73.91,12.68
2015,11380,은평구,Eunpyeong-gu,497920,60490,367820,69610,13.98,73.87,12.15
2016,11380,은평구,Eunpyeong-gu,491476,57647,362525,71304,14.51,73.76,11.73
2017,11380,은평구,Eunpyeong-gu,486794,55045,357349,74400,15.28,73.41,11.31
2018,11380,은평구,Eunpyeong-gu,483197,52187,353747,77263,15.99,73.21,10.8
2019,11380,은평구,Eunpyeong-gu,480032,49813,349652,80567,16.78,72.84,10.38
2020,11380,은평구,Eunpyeong-gu,479835,47781,347044,85010,17.72,72.33,9.96
2021,11380,은평구,Eunpyeong-gu,473307,45280,340989,87038,18.39,72.04,9.57
2022,11380,은평구,Eunpyeong-gu,466746,42981,334343,89422,19.16,71.63,9.21
2023,11380,은평구,Eunpyeong-gu,466770,41081,332124,93565,20.05,71.15,8.8
2024,11380,은평구,Eunpyeong-gu,460919,38324,324807,97788,21.22,70.47,8.31
2008,11410,서대문구,Seodaemun-gu,331688,48585,247061,36042,10.87,74.49,14.65
2009,11410,서대문구,Seodaemun-gu,327451,45775,244416,37260,11.38,74.64,13.98
2010,11410,서대문구,Seodaemun-gu,324541,42811,242509,39221,12.09,74.72,13.19
2011,11410,서대문구,Seodaemun-gu,314852,39735,235377,39740,12.62,74.76,12.62
2012,11410,서대문구,Seodaemun-gu,315113,38603,234754,41756,13.25,74.5,12.25
2013,11410,서대문구,Seodaemun-gu,314110,37251,233330,43529,13.86,74.28,11.86
2014,11410,서대문구,Seodaemun-gu,310376,35283,230111,44982,14.49,74.14,11.37
2015,11410,서대문구,Seodaemun-gu,312141,34819,230905,46417,14.87,73.97,11.15
2016,11410,서대문구,Seodaemun-gu,314194,34288,232603,47303,15.06,74.03,10.91
2017,11410,서대문구,Seodaemun-gu,312800,33339,230563,48898,15.63,73.71,10.66
2018,11410,서대문구,Seodaemun-gu,310313,32236,228032,50045,16.13,73.48,10.39
2019,11410,서대문구,Seodaemun-gu,309397,31201,226551,51645,16.69,73.22,10.08
2020,11410,서대문구,Seodaemun-gu,312173,31090,227327,53756,17.22,72.82,9.96
2021,11410,서대문구,Seodaemun-gu,304819,29460,221537,53822,17.66,72.68,9.66
2022,11410,서대문구,Seodaemun-gu,306337,29142,221693,55502,18.12,72.37,9.51
2023,11410,서대문구,Seodaemun-gu,306231,28212,220431,57588,18.81,71.98,9.21
2024,11410,서대문구,Seodaemun-gu,302853,27021,216147,59685,19.71,71.37,8.92
2008,11440,마포구,Mapo-gu,385119,57761,290863,36495,9.48,75.53,15.0
2009,11440,마포구,Mapo-gu,384013,55703,290284,38026,9.9,75.59,14.51
2010,11440,마포구,Mapo-gu,391865,54779,295849,41237,10.52,75.5,13.98
2011,11440,마포구,Mapo-gu,389493,52922,294175,42396,10.88,75.53,13.59
2012,11440,마포구,Mapo-gu,384644,50964,289653,44027,11.45,75.3,13.25
2013,11440,마포구,Mapo-gu,381856,49179,287169,45508,11.92,75.2,12.88
2014,11440,마포구,Mapo-gu,385439,48239,290104,47096,12.22,75.27,12.52
2015,11440,마포구,Mapo-gu,387643,47015,292280,48348,12.47,75.4,12.13
2016,11440,마포구,Mapo-gu,379892,45241,286591,48060,12.65,75.44,11.91
2017,11440,마포구,Mapo-gu,374915,43580,281979,49356,13.16,75.21,11.62
2018,11440,마포구,Mapo-gu,375077,42132,282401,50544,13.48,75.29,11.23
2019,11440,마포구,Mapo-gu,374035,40457,281474,52104,13.93,75.25,10.82
2020,11440,마포구,Mapo-gu,371890,38669,279219,54002,14.52,75.08,10.4
2021,11440,마포구,Mapo-gu,368905,37283,277391,54231,14.7,75.19,10.11
2022,11440,마포구,Mapo-gu,364638,35004,274101,55533,15.23,75.17,9.6
2023,11440,마포구,Mapo-gu,363697,33305,272888,57504,15.81,75.03,9.16
2024,11440,마포구,Mapo-gu,361417,31919,269886,59612,16.49,74.67,8.83
2008,11470,양천구,Yangcheon-gu,502343,87812,379156,35375,7.04,75.48,17.48
2009,11470,양천구,Yangcheon-gu,501395,84450,379979,36966,7.37,75.78,16.84
2010,11470,양천구,Yangcheon-gu,500001,80191,380845,38965,7.79,76.17,16.04
2011,11470,양천구,Yangcheon-gu,500210,77763,381443,41004,8.2,76.26,15.55
2012,11470,양천구,Yangcheon-gu,495911,74235,378284,43392,8.75,76.28,14.97
2013,11470,양천구,Yangcheon-gu,492528,71168,375464,45896,9.32,76.23,14.45
2014,11470,양천구,Yangcheon-gu,486221,67902,370251,48068,9.89,76.15,13.97
2015,11470,양천구,Yangcheon-gu,484532,66122,368128,50282,10.38,75.98,13.65
2016,11470,양천구,Yangcheon-gu,477739,64064,361718,51957,10.88,75.71,13.41
2017,11470,양천구,Yangcheon-gu,471154,62121,353897,55136,11.7,75.11,13.18
2018,11470,양천구,Yangcheon-gu,464185,59776,346468,57941,12.48,74.64,12.88
2019,11470,양천구,Yangcheon-gu,458165,57546,339472,61147,13.35,74.09,12.56
2020,11470,양천구,Yangcheon-gu,454251,56367,332343,65541,14.43,73.16,12.41
2021,11470,양천구,Yangcheon-gu,447302,54121,324698,68483,15.31,72.59,12.1
2022,11470,양천구,Yangcheon-gu,440881,51078,317568,72235,16.38,72.03,11.59
2023,11470,양천구,Yangcheon-gu,436028,48793,311109,76126,17.46,71.35,11.19
2024,11470,양천구,Yangcheon-gu,430976,47206,303596,80174,18.6,70.44,10.95
2008,11500,강서구,Gangseo-gu,576848,91665,439723,45460,7.88,76.23,15.89
2009,11500,강서구,Gangseo-gu,572836,87905,437510,47421,8.28,76.38,15.35
2010,11500,강서구,Gangseo-gu,574127,83659,440279,50189,8.74,76.69,14.57
2011,11500,강서구,Gangseo-gu,569072,79825,437095,52152,9.16,76.81,14.03
2012,11500,강서구,Gangseo-gu,567431,77315,434475,55641,9.81,76.57,13.63
2013,11500,강서구,Gangseo-gu,569070,75292,434448,59330,10.43,76.34,13.23
2014,11500,강서구,Gangseo-gu,585160,76639,444404,64117,10.96,75.95,13.1
2015,11500,강서구,Gangseo-gu,589074,74581,446701,67792,11.51,75.83,12.66
2016,11500,강서구,Gangseo-gu,595485,73801,450795,70889,11.9,75.7,12.39
2017,11500,강서구,Gangseo-gu,601691,72181,453665,75845,12.61,75.4,12.0
2018,11500,강서구,Gangseo-gu,596949,69057,448447,79445,13.31,75.12,11.57
2019,11500,강서구,Gangseo-gu,591796,65584,442373,83839,14.17,74.75,11.08
2020,11500,강서구,Gangseo-gu,580185,60762,430690,88733,15.29,74.23,10.47
2021,11500,강서구,Gangseo-gu,574315,57891,424088,92336,16.08,73.84,10.08
2022,11500,강서구,Gangseo-gu,569166,54744,417542,96880,17.02,73.36,9.62
2023,11500,강서구,Gangseo-gu,563058,51673,409577,101808,18.08,72.74,9.18
2024,11500,강서구,Gangseo-gu,556171,49043,399882,107246,19.28,71.9,8.82
2008,11530,구로구,Guro-gu,420795,65496,320977,34322,8.16,76.28,15.56
2009,11530,구로구,Guro-gu,421967,63412,322080,36475,8.64,76.33,15.03
2010,11530,구로구,Guro-gu,423736,61073,323834,38829,9.16,76.42,14.41
2011,11530,구로구,Guro-gu,427468,60645,325373,41450,9.7,76.12,14.19
2012,11530,구로구,Guro-gu,427520,59296,323645,44579,10.43,75.7,13.87
2013,11530,구로구,Guro-gu,424964,57456,320141,47367,11.15,75.33,13.52
2014,11530,구로구,Guro-gu,425831,56171,319045,50615,11.89,74.92,13.19
2015,11530,구로구,Guro-gu,422092,54209,314737,53146,12.59,74.57,12.84
2016,11530,구로구,Guro-gu,417551,51760,310632,55159,13.21,74.39,12.4
2017,11530,구로구,Guro-gu,410742,49240,303289,58213,14.17,73.84,11.99
2018,11530,구로구,Guro-gu,404497,46263,297129,61105,15.11,73.46,11.44
2019,11530,구로구,Guro-gu,406664,45177,296555,64932,15.97,72.92,11.11
2020,11530,구로구,Guro-gu,404408,42885,292322,69201,17.11,72.28,10.6
2021,11530,구로구,Guro-gu,396754,40460,284849,71445,18.01,71.79,10.2
2022,11530,구로구,Guro-gu,395315,38592,282232,74491,18.84,71.39,9.76
2023,11530,구로구,Guro-gu,392405,36428,277600,78377,19.97,70.74,9.28
2024,11530,구로구,Guro-gu,388169,34657,271485,82027,21.13,69.94,8.93
2008,11545,금천구,Geumcheon-gu,247320,36849,189494,20977,8.48,76.62,14.9
2009,11545,금천구,Geumcheon-gu,244835,34346,188348,22141,9.04,76.93,14.03
2010,11545,금천구,Geumcheon-gu,245195,31862,189658,23675,9.66,77.35,12.99
2011,11545,금천구,Geumcheon-gu,243438,30019,188658,24761,10.17,77.5,12.33
2012,11545,금천구,Geumcheon-gu,243288,28816,187996,26476,10.88,77.27,11.84
2013,11545,금천구,Geumcheon-gu,241020,27205,185867,27948,11.6,77.12,11.29
2014,11545,금천구,Geumcheon-gu,238463,25865,183355,29243,12.26,76.89,10.85
2015,11545,금천구,Geumcheon-gu,236284,24752,180787,30745,13.01,76.51,10.48
2016,11545,금천구,Geumcheon-gu,235386,23817,179593,31976,13.58,76.3,10.12
2017,11545,금천구,Geumcheon-gu,235154,23079,178233,33842,14.39,75.79,9.81
2018,11545,금천구,Geumcheon-gu,233917,21842,176721,35354,15.11,75.55,9.34
2019,11545,금천구,Geumcheon-gu,232810,20600,175014,37196,15.98,75.17,8.85
2020,11545,금천구,Geumcheon-gu,231733,19233,173186,39314,16.97,74.74,8.3
2021,11545,금천구,Geumcheon-gu,230811,18186,172183,40442,17.52,74.6,7.88
2022,11545,금천구,Geumcheon-gu,229642,17065,170351,42226,18.39,74.18,7.43
2023,11545,금천구,Geumcheon-gu,227481,15969,166981,44531,19.58,73.4,7.02
2024,11545,금천구,Geumcheon-gu,225159,14911,163211,47037,20.89,72.49,6.62
2008,11560,영등포구,Yeongdeungpo-gu,408099,61134,309366,37599,9.21,75.81,14.98
2009,11560,영등포구,Yeongdeungpo-gu,405798,58132,308254,39412,9.71,75.96,14.33
2010,11560,영등포구,Yeongdeungpo-gu,406833,55034,309716,42083,10.34,76.13,13.53
2011,11560,영등포구,Yeongdeungpo-gu,397443,51842,302386,43215,10.87,76.08,13.04
2012,11560,영등포구,Yeongdeungpo-gu,391408,49302,296689,45417,11.6,75.8,12.6
2013,11560,영등포구,Yeongdeungpo-gu,386471,46866,292347,47258,12.23,75.65,12.13
2014,11560,영등포구,Yeongdeungpo-gu,382352,44491,288677,49184,12.86,75.5,11.64
2015,11560,영등포구,Yeongdeungpo-gu,378504,42666,284999,50839,13.43,75.3,11.27
2016,11560,영등포구,Yeongdeungpo-gu,370613,40779,278648,51186,13.81,75.19,11.0
2017,11560,영등포구,Yeongdeungpo-gu,368550,39406,275845,53299,14.46,74.85,10.69
2018,11560,영등포구,Yeongdeungpo-gu,367778,37863,275009,54906,14.93,74.78,10.3
2019,11560,영등포구,Yeongdeungpo-gu,367678,36639,274082,56957,15.49,74.54,9.96
2020,11560,영등포구,Yeongdeungpo-gu,379480,37280,281537,60663,15.99,74.19,9.82
2021,11560,영등포구,Yeongdeungpo-gu,376837,36369,279173,61295,16.27,74.08,9.65
