sido,sigungu,total_population,foreign_residents,foreign_share_pct
경상북도,의성군,47094,1889,4.01
충청북도,청주시,873368,34644,3.97
부산광역시,남구,260090,10307,3.96
경상남도,양산시,359628,14131,3.93
충청북도,제천시,130733,5128,3.92
인천광역시,동구,57944,2244,3.87
부산광역시,동구,85665,3244,3.79
부산광역시,서구,103413,3922,3.79
전라남도,목포시,214701,8011,3.73
강원특별자치도,화천군,22278,821,3.69
경기도,성남시,900867,32960,3.66
충청북도,단양군,26597,963,3.62
경기도,수원시영통구,364750,13119,3.6
대구광역시,달서구,533000,19092,3.58
부산광역시,영도구,106825,3806,3.56
대전광역시,대덕구,170471,6012,3.53
경상남도,거창군,58393,2018,3.46
강원특별자치도,속초시,79758,2757,3.46
서울특별시,강북구,280470,9563,3.41
경상북도,예천군,53609,1790,3.34
경기도,용인시,1077481,35956,3.34
경상북도,울릉군,8515,282,3.31
대구광역시,서구,164110,5417,3.3
경상북도,포항시남구,222544,7297,3.28
전라남도,광양시,150390,4912,3.27
강원특별자치도,양양군,26687,866,3.25
인천광역시,강화군,66309,2144,3.23
경상남도,진주시,346145,11145,3.22
대전광역시,유성구,384024,12305,3.2
강원특별자치도,영월군,35449,1124,3.17
경상남도,창원시의창구,210801,6589,3.13
경기도,양평군,121622,3791,3.12
경상북도,영주시,99151,3082,3.11
경상남도,창원시,1001043,31106,3.11
부산광역시,금정구,215539,6680,3.1
경기도,성남시중원구,205957,6363,3.09
전라남도,구례군,22724,703,3.09
경상북도,안동시,153692,4634,3.02
서울특별시,중랑구,375066,11250,3.0
경기도,고양시일산동구,288578,8654,3.0
부산광역시,사하구,293036,8757,2.99
강원특별자치도,춘천시,291783,8699,2.98
경상남도,창원시성산구,244140,7284,2.98
전북특별자치도,전주시덕진구,322228,9613,2.98
인천광역시,계양구,278600,8310,2.98
강원특별자치도,강릉시,212352,6304,2.97
경상북도,구미시,407365,11600,2.85
강원특별자치도,삼척시,62953,1782,2.83
울산광역시,남구,305176,8419,2.76
경기도,의정부시,456516,12571,2.75
경상남도,창원시마산회원구,178865,4923,2.75
세종특별자치시,세종시,390156,10739,2.75
경기도,안양시,545800,15029,2.75
전북특별자치도,전주시,649634,17864,2.75
울산광역시,북구,215421,5892,2.74
경기도,고양시일산서구,273944,7447,2.72
경상북도,포항시,493075,13421,2.72
경기도,광명시,272371,7273,2.67
부산광역시,기장군,173228,4609,2.66
광주광역시,동구,111289,2963,2.66
경상남도,창원시마산합포구,178265,4693,2.63
경기도,고양시,1044968,27373,2.62
강원특별자치도,원주시,365720,9422,2.58
강원특별자치도,태백시,37590,953,2.54
전북특별자치도,전주시완산구,327406,8251,2.52
대구광역시,북구,422633,10584,2.5
경기도,남양주시,718385,17489,2.43
서울특별시,강서구,543974,13197,2.43
경기도,용인시기흥구,429488,10339,2.41
경기도,고양시덕양구,482446,11272,2.34
강원특별자치도,동해시,85673,1999,2.33
전라남도,순천시,271376,6275,2.31
광주광역시,북구,433089,9940,2.3
서울특별시,서초구,386254,8724,2.26
경상북도,포항시북구,270531,6124,2.26
울산광역시,중구,203766,4414,2.17
서울특별시,강동구,454023,9808,2.16
대구광역시,남구,136118,2929,2.15
서울특별시,강남구,528194,11210,2.12
서울특별시,송파구,628648,13294,2.11
서울특별시,은평구,448142,9341,2.08
대전광역시,서구,462226,9523,2.06
서울특별시,양천구,417397,8568,2.05
서울특별시,도봉구,296997,5681,1.91
서울특별시,노원구,486446,9015,1.85
부산광역시,해운대구,365974,6783,1.85
대전광역시,중구,220497,4026,1.83
경기도,하남시,320872,5801,1.81
충청북도,청주시상당구,195499,3511,1.8
경기도,구리시,182102,3225,1.77
부산광역시,북구,265364,4669,1.76
경기도,용인시수지구,361720,6262,1.73
광주광역시,서구,278639,4804,1.72
부산광역시,수영구,167787,2853,1.7
광주광역시,남구,208707,3440,1.65
경기도,의왕시,151306,2489,1.65
부산광역시,부산진구,356874,5570,1.56
경기도,성남시분당구,447920,6803,1.52
대구광역시,중구,94128,1363,1.45
충청남도,계룡시,45026,645,1.43
대구광역시,동구,336051,4680,1.39
경기도,안양시동안구,315820,4022,1.27
경기도,과천시,81213,816,1.0
부산광역시,연제구,207871,2082,1.0
부산광역시,동래구,265089,2486,0.94
대구광역시,수성구,398685,3417,0.86
