C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
행정구역별,출원서기준,6170,15138AG1AEAA,15138AG6AD,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daegu,대구,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,7020,15138AG1AEAB,15138AG6AD,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daegu,대구,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,7365,15138AG1AA,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,135,15138AG1AB,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,2763,15138AG1ADAA,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,2810,15138AG1ADAB,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,10978,15138AG1AEAA,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,12698,15138AG1AEAB,15138AG6AE,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Incheon,인천,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,3324,15138AG1AA,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,35,15138AG1AB,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,911,15138AG1ADAA,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,944,15138AG1ADAB,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,3131,15138AG1AEAA,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,3646,15138AG1AEAB,15138AG6AF,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gwangju,광주,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,11472,15138AG1AA,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,45,15138AG1AB,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,1148,15138AG1ADAA,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,1253,15138AG1ADAB,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,4646,15138AG1AEAA,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,5585,15138AG1AEAB,15138AG6AG,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Daejeon,대전,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,2402,15138AG1AA,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,32,15138AG1AB,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,407,15138AG1ADAA,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,408,15138AG1ADAB,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,1976,15138AG1AEAA,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,2139,15138AG1AEAB,15138AG6AH,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Ulsan,울산,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,63931,15138AG1AA,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,792,15138AG1AB,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,15351,15138AG1ADAA,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,15626,15138AG1ADAB,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,61524,15138AG1AEAA,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,71976,15138AG1AEAB,15138AG6AI,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gyeonggi,경기,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,2861,15138AG1AA,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,30,15138AG1AB,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,800,15138AG1ADAA,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,806,15138AG1ADAB,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
행정구역별,출원서기준,4684,15138AG1AEAA,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,다류상표기준,5322,15138AG1AEAB,15138AG6AJ,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Gangwon,강원,건,Applications by region,By Patent Right,By Brand,101,By Administrative divisions,권리별
행정구역별,특허,4046,15138AG1AA,15138AG6AL,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Chungbuk,충북,건,Applications by region,By Patent Right,Patent,101,By Administrative divisions,권리별
행정구역별,실용신안,45,15138AG1AB,15138AG6AL,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Chungbuk,충북,건,Applications by region,By Patent Right,Utility Model,101,By Administrative divisions,권리별
행정구역별,출원서기준,1034,15138AG1ADAA,15138AG6AL,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Chungbuk,충북,건,Applications by region,By Patent Right,By application,101,By Administrative divisions,권리별
행정구역별,복수디자인기준,1034,15138AG1ADAB,15138AG6AL,A,Cases,16138AAA1,DT_1YL202109E,시도별 출원,특허출원건수(시도),2024,,Chungbuk,충북,건,Applications by region,By Patent Right,By multiple design,101,By Administrative divisions,권리별
