C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구비율(19~34세),21.8,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.4,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.2,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.2,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),21.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.7,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.5,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.4,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),20.1,21,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),11290101.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),11153716.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),11014719.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10963939.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10969615.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10911411.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10721405.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10602617.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10541492.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년인구(19~34세),10403543.0,22,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51069375.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51269554.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51422507.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51629512.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51779203.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51829136.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51738071.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51692272.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51774521.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,전체인구,51805547.0,23,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),14.2,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),14.0,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.9,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.8,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.7,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2019,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.5,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2020,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),13.2,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2021,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),12.9,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2022,2024-09-27,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),12.6,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2023,2024-10-10,전국,%,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),12.4,31,00,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,전국,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),7231823.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2015,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),7200668.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2016,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),7158325.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2017,2024-10-10,전국,명,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),7134659.0,32,00,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2018,2024-10-10,전국,명,101,청년인구비율 지표
