C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
시도별,15 - 29세,40.5,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2020,2020-12-30,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,41.2,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2021,2021-12-30,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,42.0,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2022,2022-12-29,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,43.9,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2023,2023-12-28,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,46.1,75,21,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2024,2025-01-02,Busan,부산광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,39.3,75,22,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2015,2017-12-05,Daegu,대구광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,38.3,75,22,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2016,2017-11-16,Daegu,대구광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,35.2,75,22,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2017,2018-01-10,Daegu,대구광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,36.3,75,22,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2018,2018-12-28,Daegu,대구광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
시도별,15 - 29세,39.8,75,22,A,%,T90,INH_1DA7015S,고용률,청년고용률(시도),2019,2020-01-03,Daegu,대구광역시,%,Employment/population ratio,By age group,15-29 Years old,101,By province,연령계층별
