C2,PRD_SE,ITM_ID,TBL_ID,PRD_DE,C3_NM,C3_OBJ_NM_ENG,C2_OBJ_NM_ENG,C1_OBJ_NM_ENG,C1_OBJ_NM,C2_NM,C3,DT,C1,UNIT_NM_ENG,C3_NM_ENG,ITM_NM,TBL_NM,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,C3_OBJ_NM,ORG_ID,C2_OBJ_NM
11620,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,관악구,0,328,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gwanak-gu,성별,101,전입지별
11650,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서초구,0,429,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seocho-gu,성별,101,전입지별
11680,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,강남구,0,685,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gangnam-gu,성별,101,전입지별
11710,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,송파구,0,385,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Songpa-gu,성별,101,전입지별
11740,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,강동구,0,277,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Gangdong-gu,성별,101,전입지별
26,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,부산광역시,0,279,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Busan,성별,101,전입지별
26110,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,중  구,0,5,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Jung-gu,성별,101,전입지별
26140,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,서  구,0,9,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Seo-gu,성별,101,전입지별
26170,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동  구,0,11,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dong-gu,성별,101,전입지별
26200,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,영도구,0,11,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Yeongdo-gu,성별,101,전입지별
26230,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,부산진구,0,30,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Busanjin-gu,성별,101,전입지별
26260,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,동래구,0,19,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Dongnae-gu,성별,101,전입지별
26290,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,남  구,0,17,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Nam-gu,성별,101,전입지별
26320,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,북  구,0,15,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Buk-gu,성별,101,전입지별
26350,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,해운대구,0,57,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Haeundae-gu,성별,101,전입지별
26380,A,T70,DT_1B26003_A02,2024,계,By gender,By district to move-in,By province to move-out,전출지별,사하구,0,4,11110,In person,total,이동자수,전출지/전입지(시군구)/성별 이동자수,2025-01-08,Jongno-gu,종로구,명,Migrants,Saha-gu,성별,101,전입지별
