C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM,UNIT_NM,ORG_ID,C2_OBJ_NM
행정구역별,청년인구비율(19~39세),35.5,11,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),45004.0,12,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,13,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),27.4,21,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),34815.0,22,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,23,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),18.7,31,11020,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),23753.0,32,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,전체인구,126899.0,33,11020,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,중구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),33.3,11,11030,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),67697.0,12,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,전체인구,203401.0,13,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),25.0,21,11030,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,%,101,청년인구비율 지표
행정구역별,청년인구(19~34세),50892.0,22,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,전체인구,203401.0,23,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,청년여성비율(19~39세),17.6,31,11030,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,%,101,청년인구비율 지표
행정구역별,청년여성인구(19~39세),35794.0,32,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,전체인구,203401.0,33,11030,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,용산구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~39세),33.3,11,11040,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,%,101,청년인구비율 지표
행정구역별,청년인구(19~39세),91478.0,12,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,전체인구,274688.0,13,11040,A,In person,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,명,101,청년인구비율 지표
행정구역별,청년인구비율(19~34세),25.4,21,11040,A,%,T001,DT_1YL20643,청년인구비율,인구총조사 청년인구비율(시도/시/군/구),2024,2025-07-29,성동구,%,101,청년인구비율 지표
